epsilon,precision_media,recall_media,f1_media
1e-05,0.2,0.4246428571428571,0.23490516019927787
1e-06,0.16799999999999998,0.4057460317460317,0.2158470418470419
1e-07,0.192,0.3509523809523809,0.22607936507936516
1e-08,0.168,0.32376190476190475,0.20371861471861472
1e-09,0.21599999999999997,0.40906493506493513,0.25539611850138166
