c,precision_media,recall_media,f1_media
0.05,0.228,0.3919047619047619,0.25862337662337664
0.1,0.17999999999999997,0.29388311688311686,0.20680880230880233
0.15,0.20400000000000001,0.331,0.23050915750915751
0.2,0.192,0.34717460317460314,0.21884370600160075
0.25,0.21599999999999997,0.47114285714285714,0.27024819624819624
0.3,0.204,0.5048809523809524,0.2637684537684538
0.35,0.14400000000000002,0.3436904761904762,0.18722555222555223
0.4,0.21600000000000003,0.4002777777777778,0.25146686646686645
0.45,0.192,0.4601904761904761,0.24336163836163838
0.5,0.20400000000000001,0.3408253968253968,0.23311921411921413
0.55,0.192,0.4224523809523809,0.23990520590520595
0.6,0.23600000000000002,0.3474047619047619,0.25550111979523743
0.65,0.22399999999999998,0.3007692307692308,0.2229970291146762
0.7,0.21200000000000002,0.3730079365079365,0.23874358974358972
0.75,0.18400000000000002,0.32749206349206345,0.2194900654900655
0.8,0.264,0.4369047619047619,0.2844274170274171
0.85,0.18400000000000002,0.28696969696969693,0.21097113997113998
0.9,0.2,0.42695238095238097,0.24641558441558445
