Algoritmo,Precision,Recall,F1
Filtrado Colaborativo Puro,0.07050000000000001,0.44314378676878674,0.11259378289051114
RWR + FC,0.07306250000000002,0.4612719433344434,0.11698544131730422
RWR Completo,0.09125,0.5834156121656122,0.14636845108838023
FC Surprise,0.0155,0.13671130952380953,0.026402188793493143
