K,Precision,Recall,F1
3,0.1662562250314672,0.19061919941857997,0.15757854112444283
5,0.13753078312263997,0.25396815608247036,0.15911717017707802
10,0.09366483336069611,0.33259559413974704,0.13317059743268156
15,0.07130277031565818,0.3724019390733669,0.1107505530344071
20,0.05776542249886036,0.3961897475886078,0.09434616612862458
25,0.04852774232208972,0.41178248668338474,0.0819357024506934
30,0.04192093522663062,0.4225893814117055,0.07244563373247909

