N,Precision,Recall,F1
1,0.1465,0.5194206997766595,0.20882148384301194
2,0.1465,0.5194206997766595,0.20882148384301194
3,0.1464,0.5193540331099928,0.20874148384301197
4,0.14670000000000002,0.5198066646889402,0.20904429551409948
5,0.14670000000000002,0.5198066646889402,0.20904429551409948
10,0.1465,0.5195983313556068,0.20884227531207927
15,0.14640000000000003,0.5189676296012209,0.208633585151665
20,0.1496559523809524,0.5153199776187005,0.2125932739686802
