N,Precision,Recall,F1
1,0.16839920634920635,0.4690169492143564,0.22769991396907222
3,0.14695396825396828,0.5193209696821925,0.20914311392060989
5,0.1458361111111111,0.5189611952461024,0.20794896770171725
10,0.1453,0.5165933381032451,0.2071928591044322
15,0.14520000000000002,0.5164009629345543,0.20698870558678545
20,0.14510000000000003,0.5151259629345543,0.20673228423036405
