K,Precision,Recall,F1
3,0.1664751272369069,0.19110568380651735,0.15782617087748915
5,0.13771137744212772,0.25420084404797594,0.15926631901146787
10,0.09374486947956003,0.33304342298408846,0.13329557770866446
15,0.07165900508947629,0.3744915920846088,0.11131673078752907
20,0.05803507907842172,0.3991033473088172,0.09483496401652132
25,0.04881697039347671,0.4168784676940947,0.0824801963313357
30,0.04219800000000001,0.42999999999999994,0.072

