K,Precision,Recall,F1
3,0.2586666666666667,0.30243341864104245,0.24842742032649154
5,0.2084,0.3888239962780598,0.24265871946251208
10,0.14780000000000001,0.5297884717707473,0.21107078397187343
15,0.11453333333333333,0.6107631690462959,0.17916827953727454
20,0.09200000000000001,0.649709150227997,0.1514651003285728
25,0.07872000000000001,0.6876747506191777,0.13378559440056143
30,0.06826666666666667,0.7150593538814127,0.11882003486657686 
Dinamico,0.13766055696696855,0.5440056148400964,0.20380712246749594
