precision,recall,f1
0.1,0.3333333333333333,0.15384615384615383
0.2,0.6666666666666666,0.30769230769230765
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.07692307692307693,0.08695652173913043
0.0,0.0,0.0
0.0,0.0,0.0
0.1,1.0,0.18181818181818182
0.1,1.0,0.18181818181818182
0.1,0.25,0.14285714285714288
0.0,0.0,0.0
0.2,0.5,0.28571428571428575
0.1,1.0,0.18181818181818182
0.2,0.5,0.28571428571428575
0.6,0.5454545454545454,0.5714285714285713
0.6,0.5,0.5454545454545454
0.0,0.0,0.0
0.2,0.6666666666666666,0.30769230769230765
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.3333333333333333,0.15384615384615383
0.2,1.0,0.33333333333333337
0.0,0.0,0.0
0.0,0.0,0.0
0.1,1.0,0.18181818181818182
0.0,0.0,0.0
0.2,1.0,0.33333333333333337
0.2,0.3333333333333333,0.25
0.2,1.0,0.33333333333333337
0.0,0.0,0.0
0.0,0.0,0.0
0.1,1.0,0.18181818181818182
0.0,0.0,0.0
0.2,1.0,0.33333333333333337
0.1,0.5,0.16666666666666669
0.1,0.3333333333333333,0.15384615384615383
0.1,1.0,0.18181818181818182
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.5,0.16666666666666669
0.0,0.0,0.0
0.4,0.8,0.5333333333333333
0.0,0.0,0.0
0.2,0.5,0.28571428571428575
0.1,0.16666666666666666,0.125
0.1,0.3333333333333333,0.15384615384615383
0.1,0.5,0.16666666666666669
0.2,0.2222222222222222,0.2105263157894737
0.0,0.0,0.0
0.0,0.0,0.0
