precision,recall,f1
0.1,0.5,0.16666666666666669
0.1,0.2,0.13333333333333333
0.5,0.625,0.5555555555555556
0.0,0.0,0.0
0.1,1.0,0.18181818181818182
0.2,0.6666666666666666,0.30769230769230765
0.3,0.6,0.4
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.3333333333333333,0.15384615384615383
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.2,0.13333333333333333
0.3,0.75,0.4285714285714285
0.1,0.5,0.16666666666666669
0.1,1.0,0.18181818181818182
0.0,0.0,0.0
0.1,0.5,0.16666666666666669
0.1,0.5,0.16666666666666669
0.0,0.0,0.0
0.0,0.0,0.0
0.2,0.6666666666666666,0.30769230769230765
0.2,1.0,0.33333333333333337
0.1,0.5,0.16666666666666669
0.0,0.0,0.0
0.4,1.0,0.5714285714285715
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.2,0.13333333333333333
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.5,0.16666666666666669
0.2,1.0,0.33333333333333337
0.1,1.0,0.18181818181818182
0.0,0.0,0.0
0.0,0.0,0.0
0.2,1.0,0.33333333333333337
0.1,1.0,0.18181818181818182
0.1,1.0,0.18181818181818182
0.4,1.0,0.5714285714285715
0.3,0.3333333333333333,0.3157894736842105
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.6,0.5454545454545454,0.5714285714285713
0.2,1.0,0.33333333333333337
0.0,0.0,0.0
0.1,1.0,0.18181818181818182
