precision,recall,f1
0.2,0.6666666666666666,0.30769230769230765
0.3,0.6,0.4
0.1,1.0,0.18181818181818182
0.4,0.5714285714285714,0.47058823529411764
0.1,0.5,0.16666666666666669
0.1,0.5,0.16666666666666669
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.3333333333333333,0.15384615384615383
0.0,0.0,0.0
0.0,0.0,0.0
0.2,0.4,0.26666666666666666
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.3,1.0,0.4615384615384615
0.2,0.2857142857142857,0.23529411764705882
0.0,0.0,0.0
0.1,1.0,0.18181818181818182
0.0,0.0,0.0
0.1,0.2,0.13333333333333333
0.2,1.0,0.33333333333333337
0.4,0.8,0.5333333333333333
0.0,0.0,0.0
0.1,0.25,0.14285714285714288
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.07142857142857142,0.08333333333333333
0.3,0.5,0.37499999999999994
0.2,1.0,0.33333333333333337
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.5,0.16666666666666669
0.1,0.3333333333333333,0.15384615384615383
0.1,1.0,0.18181818181818182
0.2,0.3333333333333333,0.25
0.1,0.5,0.16666666666666669
0.1,0.14285714285714285,0.11764705882352941
0.1,1.0,0.18181818181818182
0.1,0.25,0.14285714285714288
0.0,0.0,0.0
0.2,0.6666666666666666,0.30769230769230765
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.5,0.16666666666666669
0.1,0.3333333333333333,0.15384615384615383
0.5,0.8333333333333334,0.625
0.0,0.0,0.0
0.1,0.3333333333333333,0.15384615384615383
0.2,0.6666666666666666,0.30769230769230765
