,codigo_autor,codigo_coautor,num_publicaciones
113,0000-0001-8518-6307,0000-0001-9032-8998,16
114,0000-0001-9032-8998,0000-0002-4197-4026,3
115,0000-0001-9032-8998,0000-0001-8518-6307,16
116,0000-0001-7985-5658,0000-0003-4962-4714,1
117,0000-0003-4962-4714,0000-0001-7985-5658,1
118,0000-0003-4875-1447,0000-0002-3778-4107,2
119,0000-0003-4875-1447,0000-0002-9623-2599,7
120,0000-0003-4875-1447,0000-0002-6796-3675,1
121,0000-0003-4875-1447,0000-0002-1037-5346,2
122,0000-0002-3778-4107,0000-0003-4875-1447,2
123,0000-0002-3778-4107,0000-0002-9623-2599,3
124,0000-0002-3778-4107,0000-0002-6796-3675,1
125,0000-0002-3778-4107,0000-0002-1037-5346,1
126,0000-0002-9623-2599,0000-0003-4875-1447,7
127,0000-0002-9623-2599,0000-0002-3778-4107,3
128,0000-0002-9623-2599,0000-0002-6796-3675,3
129,0000-0002-9623-2599,0000-0002-1037-5346,3
130,0000-0002-6796-3675,0000-0003-4875-1447,1
131,0000-0002-6796-3675,0000-0002-3778-4107,1
132,0000-0002-6796-3675,0000-0002-9623-2599,3
133,0000-0002-6796-3675,0000-0002-1037-5346,5
134,0000-0002-1037-5346,0000-0003-4875-1447,2
135,0000-0002-1037-5346,0000-0002-3778-4107,1
136,0000-0002-1037-5346,0000-0002-9623-2599,3
137,0000-0002-1037-5346,0000-0002-6796-3675,5
138,0000-0003-1149-9428,0000-0001-5050-2509,1
139,0000-0001-5050-2509,0000-0003-1149-9428,1
140,0000-0002-6706-9454,0000-0002-1181-1955,19
141,0000-0002-1181-1955,0000-0002-6706-9454,19
142,0000-0003-4982-5639,0000-0002-4398-8237,1
143,0000-0002-4398-8237,0000-0003-4982-5639,1
144,0000-0002-6999-5507,0000-0002-1236-849X,14
145,0000-0002-1236-849X,0000-0002-6999-5507,14
146,0000-0003-3234-4038,0000-0001-5541-1358,2
147,0000-0003-3234-4038,0000-0002-5788-5511,2
148,0000-0001-5541-1358,0000-0003-3234-4038,2
149,0000-0001-5541-1358,0000-0002-5788-5511,2
150,0000-0002-5788-5511,0000-0003-3234-4038,2
151,0000-0002-5788-5511,0000-0001-5541-1358,2
152,0000-0003-3972-9723,0000-0003-1761-6314,1
153,0000-0003-3972-9723,0000-0003-0316-9402,1
154,0000-0003-1761-6314,0000-0003-3972-9723,1
155,0000-0003-1761-6314,0000-0003-0316-9402,2
156,0000-0003-0316-9402,0000-0003-3972-9723,1
157,0000-0003-0316-9402,0000-0003-1761-6314,2
158,0000-0003-0995-5789,0000-0003-3917-8992,21
159,0000-0003-3917-8992,0000-0003-0995-5789,21
160,0000-0003-0901-708X,0000-0003-0599-3091,3
161,0000-0003-0599-3091,0000-0003-0901-708X,3
162,0000-0001-9523-9054,0000-0003-4000-1684,4
163,0000-0003-4000-1684,0000-0001-9523-9054,4
164,0000-0002-9875-5713,0000-0002-6875-7566,2
165,0000-0002-6875-7566,0000-0002-9875-5713,2
166,0000-0002-2549-0275,0000-0003-2589-2212,1
167,0000-0003-2589-2212,0000-0002-2549-0275,1
168,0000-0001-8821-895X,0000-0002-5600-0400,9
169,0000-0002-5600-0400,0000-0001-8821-895X,9
170,0000-0002-6795-8091,0000-0001-5198-0051,4
171,0000-0001-5198-0051,0000-0002-6795-8091,4
172,0000-0001-5018-7641,0000-0001-5685-7343,11
173,0000-0001-5685-7343,0000-0001-5018-7641,11
174,0000-0002-7383-6576,0000-0002-2634-9302,3
175,0000-0002-7383-6576,0000-0002-1944-7078,11
176,0000-0002-2634-9302,0000-0002-7383-6576,3
177,0000-0002-2634-9302,0000-0002-1944-7078,7
178,0000-0002-1944-7078,0000-0002-7383-6576,11
179,0000-0002-1944-7078,0000-0002-2634-9302,7
180,0000-0002-9495-0378,0000-0002-5063-1156,1
181,0000-0002-9495-0378,0000-0003-3019-0370,1
182,0000-0002-5063-1156,0000-0002-9495-0378,1
183,0000-0002-5063-1156,0000-0003-3019-0370,1
184,0000-0003-3019-0370,0000-0002-9495-0378,1
185,0000-0003-3019-0370,0000-0002-5063-1156,1
186,0000-0002-8678-2183,0000-0001-6074-8975,2
187,0000-0001-6074-8975,0000-0002-8678-2183,2
188,0000-0001-8251-5857,0000-0002-6547-5889,1
189,0000-0002-6547-5889,0000-0001-8251-5857,1
190,0000-0001-7154-7239,0000-0001-8054-2237,26
191,0000-0001-7154-7239,0000-0002-3327-0918,21
192,0000-0001-8054-2237,0000-0001-7154-7239,26
193,0000-0001-8054-2237,0000-0002-3327-0918,11
194,0000-0002-3327-0918,0000-0001-7154-7239,21
195,0000-0002-3327-0918,0000-0001-8054-2237,11
196,0000-0002-7069-5958,0000-0001-5099-8495,19
197,0000-0001-5099-8495,0000-0002-7069-5958,19
198,0000-0002-8430-3214,0000-0002-0331-1774,2
199,0000-0002-0331-1774,0000-0002-8430-3214,2
200,0000-0002-5663-8025,0000-0003-4421-2876,1
201,0000-0003-4421-2876,0000-0002-5663-8025,1
202,0000-0002-6498-4008,0000-0001-8153-1441,1
203,0000-0001-8153-1441,0000-0002-6498-4008,1
204,0000-0002-8997-835X,0000-0002-1599-4509,16
205,0000-0002-1599-4509,0000-0002-8997-835X,16
206,0000-0001-9032-9691,0000-0002-5284-856X,5
207,0000-0002-5284-856X,0000-0001-9032-9691,5
208,0000-0002-6713-9328,0000-0001-5483-7592,1
209,0000-0001-5483-7592,0000-0002-6713-9328,1
210,0000-0002-4300-455X,0000-0002-7722-7348,3
211,0000-0002-7722-7348,0000-0002-4300-455X,3
212,0000-0002-5864-0129,0000-0003-4182-2222,2
213,0000-0003-4182-2222,0000-0002-5864-0129,2
214,0000-0002-0579-3279,0000-0002-7906-3420,5
215,0000-0002-7906-3420,0000-0002-0579-3279,5
216,0000-0001-7175-1096,0000-0002-7681-2844,3
217,0000-0001-7175-1096,0000-0002-0156-2238,9
