,codigo_autor,codigo_coautor,num_publicaciones
6084,0000-0001-7866-821X,0000-0003-3018-7921,3
6085,0000-0003-3018-7921,0000-0001-7866-821X,3
6086,0000-0001-5262-5430,0000-0002-0579-3279,2
6087,0000-0002-0579-3279,0000-0001-5262-5430,2
6088,0000-0003-4982-5639,0000-0002-5965-5971,5
6089,0000-0002-5965-5971,0000-0003-4982-5639,5
6090,0000-0002-8304-1531,0000-0001-5664-7979,1
6091,0000-0001-5664-7979,0000-0002-8304-1531,1
6092,0000-0003-3436-6097,0000-0003-2409-1181,4
6093,0000-0003-2409-1181,0000-0003-3436-6097,4
6094,0000-0001-7591-1149,0000-0003-2936-6308,2
6095,0000-0003-2936-6308,0000-0001-7591-1149,2
6096,0000-0002-4252-5572,0000-0001-9072-8828,7
6097,0000-0001-9072-8828,0000-0002-4252-5572,7
6098,0000-0002-0348-7323,0000-0001-9737-337X,2
6099,0000-0002-4788-2691,0000-0001-9737-337X,1
6100,0000-0001-9737-337X,0000-0002-0348-7323,2
6101,0000-0001-9737-337X,0000-0002-4788-2691,1
6102,0000-0003-1459-9117,0000-0001-5045-819X,1
6103,0000-0003-1459-9117,0000-0002-9170-3822,2
6104,0000-0001-5045-819X,0000-0003-1459-9117,1
6105,0000-0001-5045-819X,0000-0002-9170-3822,1
6106,0000-0002-9170-3822,0000-0003-1459-9117,2
6107,0000-0002-9170-3822,0000-0001-5045-819X,1
6108,0000-0002-7749-0293,0000-0002-3739-7502,7
6109,0000-0002-3739-7502,0000-0002-7749-0293,7
6110,0000-0003-0610-1956,0000-0002-8322-6421,17
6111,0000-0002-8322-6421,0000-0003-0610-1956,17
6112,0000-0001-5932-7786,0000-0002-1339-6361,1
6113,0000-0002-1339-6361,0000-0001-5932-7786,1
6114,0000-0002-1339-6361,0000-0002-0671-7374,1
6115,0000-0002-0671-7374,0000-0002-1339-6361,1
6116,0000-0002-9238-8473,0000-0002-7363-1853,1
6117,0000-0002-7363-1853,0000-0002-9238-8473,1
6118,0000-0002-1478-4729,0000-0002-4080-8077,1
6119,0000-0002-4080-8077,0000-0002-1478-4729,1
6120,0000-0003-2716-6679,0000-0002-9432-4051,3
6121,0000-0002-9432-4051,0000-0003-2716-6679,3
6122,0000-0002-9361-1999,0000-0003-1870-1430,2
6123,0000-0003-1870-1430,0000-0002-9361-1999,2
6124,0000-0001-9016-4954,0000-0001-6987-2550,1
6125,0000-0001-6987-2550,0000-0001-9016-4954,1
6126,0000-0002-8726-7992,0000-0001-7808-4943,42
6127,0000-0001-7808-4943,0000-0002-8726-7992,42
6128,0000-0003-3141-3812,0000-0003-3670-9305,5
6129,0000-0003-3670-9305,0000-0003-3141-3812,5
6130,0000-0002-7250-502X,0000-0002-1345-6360,10
6131,0000-0002-1345-6360,0000-0002-7250-502X,10
6132,0000-0003-1837-2382,0000-0003-4327-6544,1
6133,0000-0003-4327-6544,0000-0003-1837-2382,1
6134,0000-0001-8982-4580,0000-0001-7073-2379,2
6135,0000-0001-7073-2379,0000-0001-8982-4580,2
6136,0000-0003-2531-8413,0000-0003-1049-0683,1
6137,0000-0003-2531-8413,0000-0002-7884-6861,1
6138,0000-0003-2531-8413,0000-0002-4141-0095,1
6139,0000-0003-1049-0683,0000-0003-2531-8413,1
6140,0000-0003-1049-0683,0000-0002-7884-6861,3
6141,0000-0003-1049-0683,0000-0002-4141-0095,3
6142,0000-0002-7884-6861,0000-0003-2531-8413,1
6143,0000-0002-7884-6861,0000-0003-1049-0683,3
6144,0000-0002-7884-6861,0000-0002-4141-0095,1
6145,0000-0002-4141-0095,0000-0003-2531-8413,1
6146,0000-0002-4141-0095,0000-0003-1049-0683,3
6147,0000-0002-4141-0095,0000-0002-7884-6861,1
6148,0000-0001-6469-8733,0000-0001-6791-2408,3
6149,0000-0001-6791-2408,0000-0001-6469-8733,3
6150,0000-0001-5012-654X,0000-0002-9870-0966,3
6151,0000-0002-9870-0966,0000-0001-5012-654X,3
6152,0000-0001-8883-7275,0000-0001-5392-1194,7
6153,0000-0001-5392-1194,0000-0001-8883-7275,7
6154,0000-0003-2053-1792,0000-0001-9097-7381,9
6155,0000-0001-9097-7381,0000-0003-2053-1792,9
6156,0000-0001-8335-3407,0000-0003-0456-2978,1
6157,0000-0003-0456-2978,0000-0001-8335-3407,1
6158,0000-0001-8837-4928,0000-0001-5502-5975,1
6159,0000-0001-5502-5975,0000-0001-8837-4928,1
6160,0000-0001-8894-1689,0000-0002-9807-327X,3
6161,0000-0002-9807-327X,0000-0001-8894-1689,3
6162,0000-0002-9598-2339,0000-0002-1436-5823,3
6163,0000-0002-1436-5823,0000-0002-9598-2339,3
6164,0000-0002-4747-1032,0000-0002-5203-7855,1
6165,0000-0002-5203-7855,0000-0002-4747-1032,1
6166,0000-0002-6365-0735,0000-0003-0925-689X,15
6167,0000-0002-6365-0735,0000-0003-3709-1690,9
6168,0000-0003-0925-689X,0000-0002-6365-0735,15
6169,0000-0003-3709-1690,0000-0002-6365-0735,9
6170,0000-0002-5622-1916,0000-0003-3253-6080,29
6171,0000-0002-5622-1916,0000-0002-2028-7462,10
6172,0000-0003-3253-6080,0000-0002-5622-1916,29
6173,0000-0002-2028-7462,0000-0002-5622-1916,10
6174,0000-0003-3150-6154,0000-0002-4353-5027,3
6175,0000-0002-4353-5027,0000-0003-3150-6154,3
6176,0000-0002-9120-664X,0000-0003-3479-7794,2
6177,0000-0003-3479-7794,0000-0002-9120-664X,2
6178,0000-0002-1012-6358,0000-0002-3092-2781,1
6179,0000-0002-3092-2781,0000-0002-1012-6358,1
6180,0000-0002-3209-8693,0000-0002-1453-3196,1
6181,0000-0002-1453-3196,0000-0002-3209-8693,1
6182,0000-0002-3547-6733,0000-0003-0206-5337,7
6183,0000-0003-0206-5337,0000-0002-3547-6733,7
6184,0000-0001-6158-9320,0000-0003-2278-1816,20
6185,0000-0003-2278-1816,0000-0001-6158-9320,20
6186,0000-0002-4223-0571,0000-0002-6551-1827,1
6187,0000-0002-4223-0571,0000-0002-7129-868X,1
6188,0000-0002-4223-0571,0000-0002-7782-4169,2
6189,0000-0002-6551-1827,0000-0002-4223-0571,1
6190,0000-0002-6551-1827,0000-0001-7211-7564,1
6191,0000-0002-6551-1827,0000-0002-7129-868X,2
6192,0000-0002-6551-1827,0000-0002-7782-4169,2
6193,0000-0001-7211-7564,0000-0002-6551-1827,1
6194,0000-0001-7211-7564,0000-0002-7129-868X,1
6195,0000-0001-7211-7564,0000-0002-7782-4169,3
6196,0000-0002-7129-868X,0000-0002-4223-0571,1
6197,0000-0002-7129-868X,0000-0002-6551-1827,2
6198,0000-0002-7129-868X,0000-0001-7211-7564,1
6199,0000-0002-7129-868X,0000-0002-7782-4169,2
6200,0000-0002-7782-4169,0000-0002-4223-0571,2
6201,0000-0002-7782-4169,0000-0002-6551-1827,2
6202,0000-0002-7782-4169,0000-0001-7211-7564,3
6203,0000-0002-7782-4169,0000-0002-7129-868X,2
6204,0000-0001-5063-4333,0000-0003-0370-7872,1
6205,0000-0003-0370-7872,0000-0001-5063-4333,1
6206,0000-0001-8420-4622,0000-0003-3358-0745,1
6207,0000-0001-8420-4622,0000-0003-1450-1642,1
6208,0000-0003-3358-0745,0000-0001-8420-4622,1
6209,0000-0003-3358-0745,0000-0003-1450-1642,1
6210,0000-0003-1450-1642,0000-0001-8420-4622,1
6211,0000-0003-1450-1642,0000-0003-3358-0745,1
6212,0000-0001-5552-6382,0000-0001-8779-7283,2
6213,0000-0001-8779-7283,0000-0001-5552-6382,2
6214,0000-0001-7563-0806,0000-0002-4574-3292,1
6215,0000-0001-7563-0806,0000-0001-6320-413X,1
6216,0000-0002-4574-3292,0000-0001-7563-0806,1
6217,0000-0001-6320-413X,0000-0001-7563-0806,1
6218,0000-0002-9362-5055,0000-0003-1410-2721,7
6219,0000-0003-1410-2721,0000-0002-9362-5055,7
6220,0000-0003-2179-4367,0000-0002-6408-8238,2
6221,0000-0002-6408-8238,0000-0003-2179-4367,2
6222,0000-0001-7483-8605,0000-0002-9644-302X,6
6223,0000-0001-7483-8605,0000-0002-8921-2725,9
6224,0000-0002-9644-302X,0000-0001-7483-8605,6
6225,0000-0002-9644-302X,0000-0002-8921-2725,3
6226,0000-0002-8921-2725,0000-0001-7483-8605,9
6227,0000-0002-8921-2725,0000-0002-9644-302X,3
6228,0000-0002-3243-110X,0000-0003-0709-2158,8
6229,0000-0003-0709-2158,0000-0002-3243-110X,8
6230,0000-0002-3680-4559,0000-0002-9936-5805,2
6231,0000-0002-9936-5805,0000-0002-3680-4559,2
6232,0000-0002-9595-3220,0000-0003-0831-9801,2
6233,0000-0002-9595-3220,0000-0002-4547-6876,2
6234,0000-0002-9706-9316,0000-0003-0831-9801,4
6235,0000-0002-9706-9316,0000-0002-4547-6876,3
6236,0000-0003-0831-9801,0000-0002-9595-3220,2
6237,0000-0003-0831-9801,0000-0002-9706-9316,4
6238,0000-0002-4547-6876,0000-0002-9595-3220,2
6239,0000-0002-4547-6876,0000-0002-9706-9316,3
6240,0000-0003-0814-5469,0000-0002-2981-2227,13
6241,0000-0002-2981-2227,0000-0003-0814-5469,13
6242,0000-0003-1537-0859,0000-0001-8504-4077,5
6243,0000-0003-1537-0859,0000-0002-9634-2763,2
6244,0000-0001-8504-4077,0000-0003-1537-0859,5
6245,0000-0001-8504-4077,0000-0002-9634-2763,1
6246,0000-0002-9634-2763,0000-0003-1537-0859,2
6247,0000-0002-9634-2763,0000-0001-8504-4077,1
6248,0000-0002-8385-1702,0000-0003-1380-6655,2
6249,0000-0002-8385-1702,0000-0003-4046-0813,13
6250,0000-0003-1380-6655,0000-0002-8385-1702,2
6251,0000-0003-1380-6655,0000-0003-4046-0813,2
6252,0000-0003-4046-0813,0000-0002-8385-1702,13
6253,0000-0003-4046-0813,0000-0003-1380-6655,2
6254,0000-0002-8900-0968,0000-0002-7007-7914,1
6255,0000-0002-8900-0968,0000-0001-9176-2382,2
6256,0000-0002-7007-7914,0000-0002-8900-0968,1
6257,0000-0002-7007-7914,0000-0001-9176-2382,2
6258,0000-0001-9176-2382,0000-0002-8900-0968,2
6259,0000-0001-9176-2382,0000-0002-7007-7914,2
6260,0000-0002-0121-0224,0000-0002-0828-8630,1
6261,0000-0002-0828-8630,0000-0002-0121-0224,1
6262,0000-0002-0069-479X,0000-0002-6781-651X,5
6263,0000-0002-6781-651X,0000-0002-0069-479X,5
6264,0000-0002-8946-0462,0000-0002-5167-7922,1
6265,0000-0002-5167-7922,0000-0002-8946-0462,1
6266,0000-0002-3099-8073,0000-0001-9780-7211,1
6267,0000-0001-9780-7211,0000-0002-3099-8073,1
6268,0000-0001-8427-118X,0000-0001-6823-6069,1
6269,0000-0001-6823-6069,0000-0001-8427-118X,1
6270,0000-0001-9607-6998,0000-0002-9605-6433,12
6271,0000-0002-9605-6433,0000-0001-9607-6998,12
6272,0000-0003-0793-6218,0000-0003-4702-7625,1
6273,0000-0003-4702-7625,0000-0003-0793-6218,1
6274,0000-0002-8888-6007,0000-0001-9718-996X,4
6275,0000-0001-9718-996X,0000-0002-8888-6007,4
6276,0000-0001-9614-5199,0000-0002-4401-2551,3
6277,0000-0002-4401-2551,0000-0001-9614-5199,3
6278,0000-0002-4699-5627,0000-0002-4395-1397,5
6279,0000-0002-4395-1397,0000-0002-4699-5627,5
6280,0000-0003-2614-0303,0000-0001-8759-2982,9
6281,0000-0001-8759-2982,0000-0003-2614-0303,9
6282,0000-0001-8938-5290,0000-0001-9407-6484,2
6283,0000-0001-9407-6484,0000-0001-8938-5290,2
6284,0000-0001-9235-6730,0000-0002-9253-5170,3
6285,0000-0002-9253-5170,0000-0001-9235-6730,3
6286,0000-0001-6594-8917,0000-0002-0768-8309,8
6287,0000-0002-0768-8309,0000-0001-6594-8917,8
6288,0000-0003-0309-3313,0000-0002-5542-9897,4
6289,0000-0002-5542-9897,0000-0003-0309-3313,4
6290,0000-0001-7984-1889,0000-0002-5943-8336,1
6291,0000-0002-5943-8336,0000-0001-7984-1889,1
6292,0000-0002-5927-372X,0000-0002-8608-3278,4
6293,0000-0002-8608-3278,0000-0002-5927-372X,4
6294,0000-0003-2898-6484,0000-0002-9172-3874,1
6295,0000-0002-9172-3874,0000-0003-2898-6484,1
6296,0000-0002-8160-2446,0000-0002-0768-8309,1
6297,0000-0002-0768-8309,0000-0002-8160-2446,1
6298,0000-0001-7333-8270,0000-0001-7216-5873,2
6299,0000-0001-6680-4536,0000-0001-7216-5873,2
6300,0000-0001-7216-5873,0000-0001-7333-8270,2
6301,0000-0001-7216-5873,0000-0001-6680-4536,2
6302,0000-0002-9014-5355,0000-0002-2560-2484,11
6303,0000-0002-2560-2484,0000-0002-9014-5355,11
6304,0000-0001-5948-8037,0000-0003-4713-3911,2
6305,0000-0003-4713-3911,0000-0001-5948-8037,2
6306,0000-0001-6057-4936,0000-0003-2861-8286,3
6307,0000-0003-2861-8286,0000-0001-6057-4936,3
6308,0000-0003-2861-8286,0000-0002-8422-8664,4
6309,0000-0002-8422-8664,0000-0003-2861-8286,4
6310,0000-0002-0412-2270,0000-0002-6349-6950,13
6311,0000-0002-6349-6950,0000-0002-0412-2270,13
6312,0000-0003-1295-9131,0000-0002-0213-2328,9
6313,0000-0002-0213-2328,0000-0003-1295-9131,9
6314,0000-0002-2362-0128,0000-0002-9486-2343,3
6315,0000-0002-9486-2343,0000-0002-2362-0128,3
6316,0000-0002-5805-7195,0000-0002-2733-7776,7
6317,0000-0002-2733-7776,0000-0002-5805-7195,7
6318,0000-0003-3480-7649,0000-0002-2819-7584,9
6319,0000-0001-7577-9619,0000-0002-2819-7584,9
6320,0000-0002-2819-7584,0000-0003-3480-7649,9
6321,0000-0002-2819-7584,0000-0001-7577-9619,9
6322,0000-0002-6454-626X,0000-0003-3370-5720,8
6323,0000-0003-3370-5720,0000-0002-6454-626X,8
6324,0000-0002-7394-6804,0000-0001-7117-7725,6
6325,0000-0001-7117-7725,0000-0002-7394-6804,6
6326,0000-0003-0700-6993,0000-0002-1756-4449,1
6327,0000-0002-1756-4449,0000-0003-0700-6993,1
6328,0000-0002-7836-5881,0000-0002-0883-219X,2
6329,0000-0002-7836-5881,0000-0002-0183-8978,1
6330,0000-0002-7836-5881,0000-0001-5311-929X,2
6331,0000-0002-7836-5881,0000-0002-3010-6637,3
6332,0000-0002-7836-5881,0000-0002-7219-0398,1
6333,0000-0002-7836-5881,0000-0002-0290-0315,15
6334,0000-0002-0883-219X,0000-0002-7836-5881,2
6335,0000-0002-0883-219X,0000-0002-0183-8978,2
6336,0000-0002-0883-219X,0000-0002-3010-6637,2
6337,0000-0002-0883-219X,0000-0002-7219-0398,1
6338,0000-0002-0883-219X,0000-0002-0290-0315,4
6339,0000-0002-0183-8978,0000-0002-7836-5881,1
6340,0000-0002-0183-8978,0000-0002-0883-219X,2
6341,0000-0002-0183-8978,0000-0001-5311-929X,3
6342,0000-0002-0183-8978,0000-0002-3010-6637,2
6343,0000-0002-0183-8978,0000-0002-7219-0398,1
6344,0000-0002-0183-8978,0000-0002-0290-0315,1
6345,0000-0001-5311-929X,0000-0002-7836-5881,2
6346,0000-0001-5311-929X,0000-0002-0183-8978,3
6347,0000-0001-5311-929X,0000-0002-3010-6637,2
6348,0000-0001-5311-929X,0000-0002-7219-0398,1
6349,0000-0001-5311-929X,0000-0002-0290-0315,5
6350,0000-0002-3010-6637,0000-0002-7836-5881,3
6351,0000-0002-3010-6637,0000-0002-0883-219X,2
6352,0000-0002-3010-6637,0000-0002-0183-8978,2
6353,0000-0002-3010-6637,0000-0001-5311-929X,2
6354,0000-0002-3010-6637,0000-0002-7219-0398,2
6355,0000-0002-3010-6637,0000-0002-0290-0315,2
6356,0000-0002-7219-0398,0000-0002-7836-5881,1
6357,0000-0002-7219-0398,0000-0002-0883-219X,1
6358,0000-0002-7219-0398,0000-0002-0183-8978,1
6359,0000-0002-7219-0398,0000-0001-5311-929X,1
6360,0000-0002-7219-0398,0000-0002-3010-6637,2
6361,0000-0002-7219-0398,0000-0002-0290-0315,1
6362,0000-0002-0290-0315,0000-0002-7836-5881,15
6363,0000-0002-0290-0315,0000-0002-0883-219X,4
6364,0000-0002-0290-0315,0000-0002-0183-8978,1
6365,0000-0002-0290-0315,0000-0001-5311-929X,5
6366,0000-0002-0290-0315,0000-0002-3010-6637,2
6367,0000-0002-0290-0315,0000-0002-7219-0398,1
6368,0000-0002-3547-7277,0000-0002-7197-0552,3
6369,0000-0002-6795-8091,0000-0002-7197-0552,6
6370,0000-0003-3398-2787,0000-0002-7197-0552,3
6371,0000-0002-7197-0552,0000-0002-3547-7277,3
6372,0000-0002-7197-0552,0000-0002-6795-8091,6
6373,0000-0002-7197-0552,0000-0003-3398-2787,3
6374,0000-0002-0121-0224,0000-0001-9972-8680,2
6375,0000-0001-9972-8680,0000-0002-0121-0224,2
6376,0000-0002-1471-7016,0000-0002-4197-4026,2
6377,0000-0002-4197-4026,0000-0002-1471-7016,2
6378,0000-0003-1666-3274,0000-0002-2611-3148,1
6379,0000-0002-2611-3148,0000-0003-1666-3274,1
6380,0000-0003-0178-3329,0000-0003-0954-4445,4
6381,0000-0003-0178-3329,0000-0003-1969-659X,4
6382,0000-0003-0954-4445,0000-0003-0178-3329,4
6383,0000-0003-0954-4445,0000-0003-1969-659X,6
6384,0000-0003-1969-659X,0000-0003-0178-3329,4
6385,0000-0003-1969-659X,0000-0003-0954-4445,6
6386,0000-0002-6628-649X,0000-0003-2500-3585,1
6387,0000-0003-2500-3585,0000-0002-6628-649X,1
6388,0000-0001-5620-4238,0000-0002-4870-8978,3
6389,0000-0002-4870-8978,0000-0001-5620-4238,3
6390,0000-0001-9607-6998,0000-0001-7132-4094,1
6391,0000-0001-7132-4094,0000-0001-9607-6998,1
6392,0000-0001-6780-9259,0000-0001-7599-3201,3
6393,0000-0001-7599-3201,0000-0001-6780-9259,3
6394,0000-0001-7599-3201,0000-0003-2259-5853,3
6395,0000-0003-2259-5853,0000-0001-7599-3201,3
6396,0000-0002-1236-849X,0000-0003-2309-1171,5
6397,0000-0003-2309-1171,0000-0002-1236-849X,5
6398,0000-0002-3768-1749,0000-0001-6022-2666,13
6399,0000-0002-3768-1749,0000-0002-9405-9550,15
6400,0000-0002-3768-1749,0000-0001-6993-6884,15
6401,0000-0002-3768-1749,0000-0003-1624-7457,18
6402,0000-0001-6022-2666,0000-0002-3768-1749,13
6403,0000-0001-6022-2666,0000-0001-9251-070X,13
6404,0000-0001-6022-2666,0000-0002-9405-9550,14
6405,0000-0001-9251-070X,0000-0001-6022-2666,13
6406,0000-0001-9251-070X,0000-0002-9405-9550,17
6407,0000-0001-9251-070X,0000-0001-6993-6884,17
6408,0000-0001-9251-070X,0000-0003-1624-7457,30
6409,0000-0002-9405-9550,0000-0002-3768-1749,15
6410,0000-0002-9405-9550,0000-0001-6022-2666,14
6411,0000-0002-9405-9550,0000-0001-9251-070X,17
6412,0000-0002-9405-9550,0000-0003-1624-7457,19
6413,0000-0001-6993-6884,0000-0002-3768-1749,15
6414,0000-0001-6993-6884,0000-0001-9251-070X,17
6415,0000-0003-1624-7457,0000-0002-3768-1749,18
6416,0000-0003-1624-7457,0000-0001-9251-070X,30
6417,0000-0003-1624-7457,0000-0002-9405-9550,19
6418,0000-0003-4525-7793,0000-0002-6065-1476,3
6419,0000-0003-4525-7793,0000-0001-6246-2794,1
6420,0000-0002-6065-1476,0000-0003-4525-7793,3
6421,0000-0002-6065-1476,0000-0001-6246-2794,2
6422,0000-0001-6246-2794,0000-0003-4525-7793,1
6423,0000-0001-6246-2794,0000-0002-6065-1476,2
6424,0000-0001-5400-7900,0000-0002-9063-2639,2
6425,0000-0002-9063-2639,0000-0001-5400-7900,2
6426,0000-0001-9496-0165,0000-0002-1313-2091,2
6427,0000-0002-1313-2091,0000-0001-9496-0165,2
6428,0000-0002-5740-1505,0000-0001-8189-6045,1
6429,0000-0001-8189-6045,0000-0002-5740-1505,1
6430,0000-0003-4459-9142,0000-0002-6412-4358,3
6431,0000-0002-6412-4358,0000-0003-4459-9142,3
6432,0000-0001-9287-8053,0000-0002-6841-3624,2
6433,0000-0002-6841-3624,0000-0001-9287-8053,2
6434,0000-0002-7504-1822,0000-0002-7553-5064,2
6435,0000-0002-7553-5064,0000-0002-7504-1822,2
6436,0000-0003-1014-6225,0000-0002-0397-2636,1
6437,0000-0002-0397-2636,0000-0003-1014-6225,1
6438,0000-0003-4415-5058,0000-0002-7051-5013,8
6439,0000-0002-7051-5013,0000-0003-4415-5058,8
6440,0000-0002-7352-1275,0000-0002-8928-2520,15
6441,0000-0002-8928-2520,0000-0002-7352-1275,15
6442,0000-0001-7494-3675,0000-0003-0180-4695,1
6443,0000-0003-0180-4695,0000-0001-7494-3675,1
6444,0000-0002-5870-2537,0000-0002-7951-4148,1
6445,0000-0002-7951-4148,0000-0002-5870-2537,1
6446,0000-0001-5675-511X,0000-0002-2573-8736,3
6447,0000-0002-2573-8736,0000-0001-5675-511X,3
6448,0000-0002-4393-0510,0000-0002-1407-8314,31
6449,0000-0003-2025-5302,0000-0001-9251-070X,5
6450,0000-0003-2025-5302,0000-0002-1407-8314,11
6451,0000-0003-2025-5302,0000-0001-9435-9441,6
6452,0000-0001-9251-070X,0000-0003-2025-5302,5
6453,0000-0001-9251-070X,0000-0002-1407-8314,24
6454,0000-0002-1407-8314,0000-0002-4393-0510,31
6455,0000-0002-1407-8314,0000-0003-2025-5302,11
6456,0000-0002-1407-8314,0000-0001-9251-070X,24
6457,0000-0001-9435-9441,0000-0003-2025-5302,6
6458,0000-0001-9114-8737,0000-0001-8793-9982,1
6459,0000-0002-5316-1399,0000-0001-8793-9982,1
6460,0000-0001-8793-9982,0000-0001-9114-8737,1
6461,0000-0001-8793-9982,0000-0002-5316-1399,1
6462,0000-0001-8793-9982,0000-0002-6601-2165,1
6463,0000-0002-6601-2165,0000-0001-8793-9982,1
6464,0000-0002-4582-0702,0000-0002-1383-5248,1
6465,0000-0002-1383-5248,0000-0002-4582-0702,1
6466,0000-0002-7295-5004,0000-0002-9951-687X,4
6467,0000-0002-9951-687X,0000-0002-7295-5004,4
6468,0000-0002-5235-9993,0000-0003-0682-023X,3
6469,0000-0003-1233-9338,0000-0003-0682-023X,2
6470,0000-0003-0682-023X,0000-0002-5235-9993,3
6471,0000-0003-0682-023X,0000-0003-1233-9338,2
6472,0000-0002-0344-6708,0000-0002-7710-5738,1
6473,0000-0002-7710-5738,0000-0002-0344-6708,1
6474,0000-0003-0438-2248,0000-0002-7839-7568,8
6475,0000-0002-7839-7568,0000-0003-0438-2248,8
6476,0000-0003-3095-4254,0000-0002-6547-0172,2
6477,0000-0002-6547-0172,0000-0003-3095-4254,2
6478,0000-0001-6046-610X,0000-0002-2151-0574,1
6479,0000-0001-6046-610X,0000-0001-9513-9993,1
6480,0000-0002-2151-0574,0000-0001-6046-610X,1
6481,0000-0002-2151-0574,0000-0001-9513-9993,1
6482,0000-0001-9513-9993,0000-0001-6046-610X,1
6483,0000-0001-9513-9993,0000-0002-2151-0574,1
6484,0000-0003-0097-2953,0000-0002-9509-0613,6
6485,0000-0002-9509-0613,0000-0003-0097-2953,6
6486,0000-0002-9405-9550,0000-0002-0198-4588,2
6487,0000-0002-0198-4588,0000-0002-9405-9550,2
6488,0000-0002-4031-2514,0000-0001-9921-5105,2
6489,0000-0001-9921-5105,0000-0002-4031-2514,2
6490,0000-0002-3680-4559,0000-0001-8999-6999,1
6491,0000-0001-8999-6999,0000-0002-3680-4559,1
6492,0000-0001-8999-6999,0000-0002-9936-5805,1
6493,0000-0002-9936-5805,0000-0001-8999-6999,1
6494,0000-0002-9226-9407,0000-0002-5542-9897,6
6495,0000-0002-5542-9897,0000-0002-9226-9407,6
6496,0000-0002-6245-8071,0000-0003-2894-3345,7
6497,0000-0003-2894-3345,0000-0002-6245-8071,7
6498,0000-0001-5799-5895,0000-0003-3589-4414,1
6499,0000-0003-3589-4414,0000-0001-5799-5895,1
6500,0000-0001-7611-861X,0000-0003-4005-1753,1
6501,0000-0003-4005-1753,0000-0001-7611-861X,1
6502,0000-0002-5605-7853,0000-0002-1816-9010,21
6503,0000-0002-1816-9010,0000-0002-5605-7853,21
6504,0000-0002-5841-5773,0000-0002-1995-1477,7
6505,0000-0002-5841-5773,0000-0003-1451-8292,8
6506,0000-0002-1995-1477,0000-0002-5841-5773,7
6507,0000-0003-1451-8292,0000-0002-5841-5773,8
6508,0000-0002-4119-701X,0000-0002-0235-9207,2
6509,0000-0002-4119-701X,0000-0002-4079-1957,7
6510,0000-0002-0235-9207,0000-0002-4119-701X,2
6511,0000-0002-0235-9207,0000-0002-4079-1957,1
6512,0000-0002-4079-1957,0000-0002-4119-701X,7
6513,0000-0002-4079-1957,0000-0002-0235-9207,1
6514,0000-0002-5268-2416,0000-0001-5802-2657,1
6515,0000-0001-5802-2657,0000-0002-5268-2416,1
6516,0000-0003-4321-4626,0000-0002-0998-9818,6
6517,0000-0002-0998-9818,0000-0003-4321-4626,6
6518,0000-0002-7216-7294,0000-0001-7515-3667,2
6519,0000-0001-7515-3667,0000-0002-7216-7294,2
6520,0000-0002-5958-6945,0000-0002-7301-6076,1
6521,0000-0002-7301-6076,0000-0002-5958-6945,1
6522,0000-0003-2201-8247,0000-0002-4806-7218,2
6523,0000-0002-4806-7218,0000-0003-2201-8247,2
6524,0000-0003-2418-9349,0000-0001-8437-818X,1
6525,0000-0001-8437-818X,0000-0003-2418-9349,1
6526,0000-0002-4634-8630,0000-0001-5634-6543,1
6527,0000-0001-5634-6543,0000-0002-4634-8630,1
6528,0000-0002-0131-623X,0000-0001-9032-8998,3
6529,0000-0001-9032-8998,0000-0002-0131-623X,3
6530,0000-0003-1237-4600,0000-0001-8881-7952,2
6531,0000-0001-8881-7952,0000-0003-1237-4600,2
6532,0000-0002-3716-2455,0000-0001-9921-4305,6
6533,0000-0001-9921-4305,0000-0002-3716-2455,6
6534,0000-0002-7027-3173,0000-0001-8183-5365,10
6535,0000-0002-7027-3173,0000-0002-2914-2593,3
6536,0000-0001-8183-5365,0000-0002-7027-3173,10
6537,0000-0001-8183-5365,0000-0002-2914-2593,10
6538,0000-0002-2914-2593,0000-0002-7027-3173,3
6539,0000-0002-2914-2593,0000-0001-8183-5365,10
6540,0000-0003-4794-1564,0000-0003-0349-1557,4
6541,0000-0003-0349-1557,0000-0003-4794-1564,4
6542,0000-0002-3331-8766,0000-0002-4036-0874,1
6543,0000-0002-3331-8766,0000-0001-7423-9864,10
6544,0000-0002-4036-0874,0000-0002-3331-8766,1
6545,0000-0002-4036-0874,0000-0001-7423-9864,1
6546,0000-0001-7423-9864,0000-0002-3331-8766,10
6547,0000-0001-7423-9864,0000-0002-4036-0874,1
6548,0000-0002-2080-3826,0000-0003-0483-1461,1
6549,0000-0003-0483-1461,0000-0002-2080-3826,1
6550,0000-0003-0483-1461,0000-0002-6702-3560,1
6551,0000-0002-6702-3560,0000-0003-0483-1461,1
6552,0000-0002-5630-2417,0000-0001-9801-4993,30
6553,0000-0001-9801-4993,0000-0002-5630-2417,30
6554,0000-0003-0730-7649,0000-0003-3930-5285,3
6555,0000-0003-3930-5285,0000-0003-0730-7649,3
6556,0000-0002-8575-4711,0000-0002-2583-2968,1
6557,0000-0002-8575-4711,0000-0002-9601-3310,1
6558,0000-0002-2583-2968,0000-0002-8575-4711,1
6559,0000-0002-2583-2968,0000-0002-9601-3310,1
6560,0000-0002-9601-3310,0000-0002-8575-4711,1
6561,0000-0002-9601-3310,0000-0002-2583-2968,1
6562,0000-0001-8200-1733,0000-0003-2184-7692,2
6563,0000-0003-2184-7692,0000-0001-8200-1733,2
6564,0000-0002-3862-7023,0000-0002-9898-2318,1
