Unnamed: 0,codigo_autor,publicaciones_totales
227,0000-0003-4763-576X,28
229,0000-0001-5069-4758,13
230,0000-0002-3045-0614,46
231,0000-0001-6594-4350,24
232,0000-0002-4418-947X,21
233,0000-0002-3881-8807,36
234,0000-0002-8265-3763,12
235,0000-0002-1637-4176,49
237,0000-0002-3413-6841,76
238,0000-0001-6966-0814,29
239,0000-0001-5017-5421,23
240,0000-0001-6445-0631,11
241,0000-0002-2728-1848,95
242,0000-0001-9141-2251,201
243,0000-0002-8566-9277,28
244,0000-0002-0357-4486,17
245,0000-0001-9828-2074,8
246,0000-0001-6200-9279,7
248,0000-0003-3234-5639,53
249,0000-0003-2500-3585,15
250,0000-0002-8938-4893,25
251,0000-0002-9511-2173,53
252,0000-0001-9402-7439,205
253,0000-0001-8569-5507,36
254,0000-0002-3478-0741,15
255,0000-0002-6797-9343,27
256,0000-0001-6583-3482,35
257,0000-0003-0948-821X,28
258,0000-0001-9712-3223,5
259,0000-0002-5551-1401,68
260,0000-0003-3547-6634,11
262,0000-0003-1270-2678,14
263,0000-0003-0306-4408,8
264,0000-0001-9850-9793,186
265,0000-0002-7782-4169,220
266,0000-0002-5148-117X,27
267,0000-0003-2101-8843,99
269,0000-0002-8356-894X,10
270,0000-0002-7382-0080,67
271,0000-0002-4524-9403,7
272,0000-0002-9920-936X,7
273,0000-0002-1761-117X,6
274,0000-0001-6185-9423,20
275,0000-0002-9081-2699,84
276,0000-0002-0441-6228,18
277,0000-0002-6269-1543,173
278,0000-0002-7581-5680,222
279,0000-0002-9446-5233,10
280,0000-0003-4113-8682,22
281,0000-0001-7383-7811,35
282,0000-0002-7349-0296,10
283,0000-0002-9838-0448,23
284,0000-0001-8902-2473,95
286,0000-0002-2233-5640,34
287,0000-0002-8999-9417,51
288,0000-0002-2681-8076,45
289,0000-0003-3740-2807,9
290,0000-0002-3589-5989,36
291,0000-0001-8780-9512,252
292,0000-0002-1121-0607,13
293,0000-0002-3874-8618,22
294,0000-0002-6649-7895,22
295,0000-0003-1621-3257,75
296,0000-0001-6785-6645,50
297,0000-0002-6645-107X,31
298,0000-0001-6940-7608,42
299,0000-0001-8426-8490,55
300,0000-0002-5389-5309,45
301,0000-0003-0827-0964,59
302,0000-0003-4815-6293,32
305,0000-0003-2864-0045,30
306,0000-0002-5214-540X,16
308,0000-0002-8671-7728,48
309,0000-0003-2487-125X,65
310,0000-0001-5259-2026,25
311,0000-0002-0850-3177,29
313,0000-0003-1678-3778,11
314,0000-0001-5526-5821,66
315,0000-0001-5373-3329,18
316,0000-0002-6645-7172,16
317,0000-0002-5862-1833,231
318,0000-0001-7790-8197,32
319,0000-0002-3365-5375,33
321,0000-0002-2521-5871,30
322,0000-0002-3894-9049,7
323,0000-0001-6930-2988,16
324,0000-0002-1480-6115,43
325,0000-0003-1731-9395,45
326,0000-0002-4810-9262,49
328,0000-0002-6726-3951,132
329,0000-0002-1755-2819,61
330,0000-0003-4525-7793,50
331,0000-0002-4574-3292,85
332,0000-0001-6320-413X,24
334,0000-0002-0107-2861,15
335,0000-0002-4687-5780,146
336,0000-0001-8368-6666,23
339,0000-0001-6330-7526,16
340,0000-0002-8661-1544,17
341,0000-0002-7884-599X,21
342,0000-0002-8859-4661,69
344,0000-0002-9959-128X,10
345,0000-0003-1337-7897,146
346,0000-0002-2684-4741,133
347,0000-0002-1975-1141,100
348,0000-0002-7966-1973,67
349,0000-0002-6378-0070,102
350,0000-0003-3921-1174,13
351,0000-0002-6702-3560,51
353,0000-0002-8855-0204,38
354,0000-0003-1434-8844,16
355,0000-0002-6317-6666,58
357,0000-0002-9763-7758,28
358,0000-0002-8589-4378,64
359,0000-0003-2923-4065,12
360,0000-0002-6233-719X,106
361,0000-0002-8482-5784,227
362,0000-0002-7025-0465,3
363,0000-0003-2763-5949,41
364,0000-0002-2545-7686,13
365,0000-0001-7680-3254,100
366,0000-0001-5994-5138,54
367,0000-0002-0320-8574,33
368,0000-0003-3596-2288,17
369,0000-0002-4197-4026,130
370,0000-0001-9032-8998,97
371,0000-0002-1490-3070,231
372,0000-0001-9610-7408,82
373,0000-0003-1215-3373,43
374,0000-0003-0186-1411,44
375,0000-0002-8304-2905,3
376,0000-0001-8779-2781,96
377,0000-0001-7793-714X,56
378,0000-0002-7952-985X,65
380,0000-0002-4252-5572,46
381,0000-0002-4699-5627,484
382,0000-0003-3436-9175,1
383,0000-0001-8784-9354,29
384,0000-0001-5699-0283,20
385,0000-0002-1223-2242,13
386,0000-0001-7985-5658,17
387,0000-0003-4962-4714,40
388,0000-0002-8131-8429,27
390,0000-0001-5445-5842,20
391,0000-0001-7380-0330,94
392,0000-0002-3693-5145,161
393,0000-0001-9015-4203,61
394,0000-0003-4821-4094,44
395,0000-0001-7936-623X,46
396,0000-0002-9923-8590,34
397,0000-0001-8996-2000,23
398,0000-0001-9860-1979,21
399,0000-0002-6650-3976,16
400,0000-0003-4875-1447,19
402,0000-0002-9623-2599,34
404,0000-0002-1037-5346,21
405,0000-0002-2036-6160,16
406,0000-0001-8973-9538,59
407,0000-0001-8654-6634,82
408,0000-0002-2282-4006,66
409,0000-0002-1068-4261,69
411,0000-0003-1149-9428,26
412,0000-0001-5050-2509,17
413,0000-0001-5063-6961,86
414,0000-0002-8243-2741,36
415,0000-0002-6395-4499,137
416,0000-0002-4395-1397,228
417,0000-0002-7145-4494,26
418,0000-0002-6706-9454,27
419,0000-0002-1181-1955,23
420,0000-0002-8711-3037,62
421,0000-0003-2984-2167,39
422,0000-0003-3757-641X,111
423,0000-0003-4286-8791,23
424,0000-0002-7554-9108,9
427,0000-0001-5130-9284,152
428,0000-0003-1969-659X,32
429,0000-0002-3069-7254,28
430,0000-0001-9498-284X,68
431,0000-0003-2602-3668,69
432,0000-0003-4982-5639,86
433,0000-0002-4398-8237,79
434,0000-0001-8844-3583,24
436,0000-0003-3664-1873,107
437,0000-0002-1083-5533,17
438,0000-0002-7761-3783,15
440,0000-0001-6340-8087,80
441,0000-0002-0344-6708,88
442,0000-0002-6999-5507,110
443,0000-0002-1236-849X,54
444,0000-0002-3800-5013,7
445,0000-0003-4258-1483,75
446,0000-0002-9585-8266,37
447,0000-0001-7312-618X,18
448,0000-0002-2374-5342,66
449,0000-0003-3234-4038,37
450,0000-0001-5541-1358,46
451,0000-0002-5788-5511,37
452,0000-0003-0614-5641,38
453,0000-0002-1280-2305,35
454,0000-0003-2509-5213,11
455,0000-0003-2563-9559,170
456,0000-0001-7142-4669,68
457,0000-0001-6667-994X,24
458,0000-0003-2078-0844,11
459,0000-0001-5164-340X,36
460,0000-0001-7398-2250,42
461,0000-0002-9073-6024,97
463,0000-0003-1761-6314,227
464,0000-0003-0316-9402,75
466,0000-0003-2167-5253,13
467,0000-0003-0995-5789,35
468,0000-0003-3917-8992,77
469,0000-0002-9264-9880,27
470,0000-0003-4472-2112,59
471,0000-0002-0978-1937,119
472,0000-0003-0901-708X,42
473,0000-0003-0599-3091,204
474,0000-0003-4158-341X,175
475,0000-0002-9448-6739,58
476,0000-0003-4655-0641,92
477,0000-0003-2488-6080,32
478,0000-0002-2220-2637,8
479,0000-0001-7945-7975,40
480,0000-0002-3797-8577,32
481,0000-0002-0087-3720,25
482,0000-0001-9523-9054,531
483,0000-0003-4000-1684,41
484,0000-0002-1628-7857,156
485,0000-0002-9875-5713,18
486,0000-0002-6875-7566,77
487,0000-0002-7800-7419,74
488,0000-0002-7635-9883,21
489,0000-0001-9818-6621,42
490,0000-0002-2549-0275,13
491,0000-0003-2589-2212,11
492,0000-0001-9676-6577,44
493,0000-0003-3974-646X,36
494,0000-0003-1263-0221,16
495,0000-0001-8821-895X,44
496,0000-0002-5600-0400,16
497,0000-0003-4097-8292,17
498,0000-0003-1038-2324,24
499,0000-0001-9581-0468,31
500,0000-0003-1787-7282,8
501,0000-0002-7978-8093,30
502,0000-0001-7030-5756,38
503,0000-0002-2715-0979,21
504,0000-0003-3424-5519,160
505,0000-0003-2600-9022,22
507,0000-0002-6795-8091,35
508,0000-0001-5198-0051,9
509,0000-0001-5018-7641,43
510,0000-0001-5685-7343,13
512,0000-0001-7267-5398,87
