Unnamed: 0,codigo_autor,publicaciones_totales
8409,0000-0001-9299-8928,11
8410,0000-0001-8947-2749,12
8411,0000-0002-7045-7837,13
8412,0000-0002-3665-3391,48
8413,0000-0003-4244-4198,27
8414,0000-0001-7984-1889,31
8415,0000-0001-8916-2230,6
8417,0000-0002-5802-5089,15
8418,0000-0002-9649-840X,22
8419,0000-0003-3616-2338,15
8420,0000-0003-1972-3308,14
8421,0000-0001-8099-986X,24
8422,0000-0003-3228-0230,41
8423,0000-0001-7282-2888,8
8424,0000-0001-7591-6011,10
8425,0000-0001-7170-488X,25
8426,0000-0001-9650-6919,20
8427,0000-0002-3985-1131,3
8428,0000-0001-8613-6897,28
8430,0000-0002-0637-0411,14
8431,0000-0002-6463-3574,5
8432,0000-0003-1139-5792,12
8433,0000-0003-4765-2762,1
8435,0000-0001-9494-3410,17
8436,0000-0002-5400-3333,40
8437,0000-0001-6646-1692,15
8438,0000-0001-5296-3480,8
8440,0000-0003-2392-5105,10
8442,0000-0002-0918-5190,12
8443,0000-0001-6052-8411,7
8444,0000-0001-8280-7024,19
8448,0000-0003-1911-0501,38
8449,0000-0003-2083-0231,15
8451,0000-0002-9226-9407,10
8452,0000-0002-7837-8033,11
8453,0000-0002-5167-5097,13
8454,0000-0002-5713-7740,15
8455,0000-0002-8752-2340,9
8456,0000-0001-5432-5108,3
8457,0000-0003-0309-9715,1
8460,0000-0002-5314-7992,11
8462,0000-0002-8874-0083,5
8463,0000-0001-9689-6945,4
8464,0000-0003-1856-8377,7
8465,0000-0001-7843-5918,56
8466,0000-0002-3843-8521,17
8467,0000-0003-1819-8863,29
8468,0000-0002-5291-1880,16
8469,0000-0001-5424-8245,26
8470,0000-0003-0902-3586,16
8471,0000-0001-9208-7809,25
8472,0000-0003-3556-6365,53
8473,0000-0002-9454-1355,8
8474,0000-0002-6877-7567,9
8475,0000-0002-8562-9697,22
8476,0000-0001-7899-7355,8
8480,0000-0003-3431-7930,8
8483,0000-0002-5047-2204,9
8484,0000-0002-3868-7122,27
8485,0000-0002-3932-8623,10
8487,0000-0002-1568-8878,10
8488,0000-0003-3331-2513,16
8489,0000-0002-7334-0132,11
8490,0000-0002-4583-0425,5
8491,0000-0002-0891-2712,10
8492,0000-0002-6373-8622,4
8494,0000-0003-3944-7427,22
8495,0000-0001-7097-700X,3
8496,0000-0003-1717-5707,13
8499,0000-0002-8220-6381,12
8500,0000-0001-9117-1048,13
8501,0000-0002-0232-352X,8
8502,0000-0002-6372-5311,14
8504,0000-0001-7858-6871,16
8508,0000-0001-6653-4660,6
8509,0000-0001-6964-2499,30
8510,0000-0001-9703-7800,3
8513,0000-0003-0261-616X,19
8514,0000-0002-3154-6319,20
8515,0000-0001-5256-210X,3
8516,0000-0003-4857-4428,17
8517,0000-0002-2246-6851,10
8520,0000-0001-7710-5757,3
8521,0000-0001-6087-6643,50
8522,0000-0003-4228-1448,23
8524,0000-0001-7849-0087,25
8525,0000-0002-1378-6415,2
8526,0000-0002-6285-8796,34
8527,0000-0003-3265-2823,16
8528,0000-0002-6063-3585,23
8529,0000-0003-0026-7998,18
8532,0000-0003-4887-2433,39
8534,0000-0001-9030-956X,12
8536,0000-0002-0544-6533,14
8539,0000-0002-0991-5034,28
8541,0000-0001-6432-1426,52
8543,0000-0001-5635-3137,21
8544,0000-0003-2142-9175,10
8545,0000-0001-5319-0811,53
8551,0000-0001-5057-5660,21
8552,0000-0003-3217-354X,1
8553,0000-0001-5497-0465,27
8554,0000-0002-2628-4027,21
8555,0000-0002-0903-2469,43
8557,0000-0002-5605-656X,13
8560,0000-0003-3401-9554,24
8563,0000-0002-9870-9928,27
8565,0000-0002-1574-9933,10
8566,0000-0002-5744-0408,10
8567,0000-0002-9014-2525,8
8568,0000-0002-4690-0085,19
8569,0000-0002-0780-8905,39
8570,0000-0002-0755-3770,13
8573,0000-0001-6521-1691,3
8575,0000-0002-7101-9767,6
8576,0000-0002-7650-9263,11
8577,0000-0001-9734-0148,4
8578,0000-0002-1770-507X,21
8579,0000-0002-5489-7381,49
8580,0000-0002-7078-7780,18
8581,0000-0001-5913-9451,22
8585,0000-0003-0878-1799,19
8587,0000-0002-0108-8599,20
8588,0000-0002-2011-2160,27
8589,0000-0002-5309-0527,26
8591,0000-0001-9788-628X,6
8592,0000-0002-2727-7128,16
8594,0000-0001-6951-7073,17
8595,0000-0003-1322-4671,34
8597,0000-0003-0141-3555,10
8598,0000-0002-4000-4984,20
8599,0000-0002-3744-206X,33
8602,0000-0001-6481-0748,38
8604,0000-0003-3949-9737,9
8605,0000-0002-2147-2846,10
8607,0000-0003-4126-3774,7
8608,0000-0002-1751-5145,9
8609,0000-0002-6189-8067,15
8610,0000-0002-0741-261X,15
8611,0000-0002-0554-2226,13
8612,0000-0002-3879-5713,15
8613,0000-0002-9442-4175,22
8614,0000-0003-2907-4989,20
8615,0000-0001-6404-318X,16
8616,0000-0002-4202-7813,21
8619,0000-0002-4387-5160,4
8622,0000-0003-4582-1489,33
8623,0000-0002-9770-0163,1
8625,0000-0002-4541-7702,5
8627,0000-0002-6962-7894,11
8628,0000-0002-7797-2583,10
8629,0000-0002-0993-8455,1
8630,0000-0001-7385-649X,17
8631,0000-0003-3365-3537,27
8632,0000-0001-8538-7993,36
8633,0000-0003-3844-9463,9
8634,0000-0002-1731-3869,38
8635,0000-0001-6472-3329,19
8636,0000-0003-2948-5809,22
8637,0000-0001-7854-6669,18
8638,0000-0002-0269-7521,21
8640,0000-0001-6344-4870,12
8641,0000-0003-0721-8187,18
8643,0000-0002-3890-9290,5
8644,0000-0001-6594-2291,16
8648,0000-0002-6922-100X,17
8651,0000-0002-0223-4842,10
8653,0000-0002-0009-9771,34
8654,0000-0002-1379-022X,23
8656,0000-0002-3670-6262,23
8658,0000-0001-8531-0531,2
8659,0000-0002-0734-8371,9
8660,0000-0001-6671-6528,26
8661,0000-0002-6685-6229,21
8662,0000-0002-3178-0201,18
8664,0000-0002-2639-2394,19
8666,0000-0002-3089-205X,33
8669,0000-0003-1157-853X,3
8671,0000-0003-2605-6478,19
8674,0000-0003-2310-2563,4
8675,0000-0003-4040-4416,3
8676,0000-0001-9845-1384,5
8678,0000-0001-5606-2559,46
8680,0000-0001-7708-9208,26
8682,0000-0002-3438-2807,24
8683,0000-0002-3445-9181,8
8684,0000-0003-1217-2929,8
8685,0000-0003-2278-7089,8
8686,0000-0003-3869-5509,1
8687,0000-0001-5270-1333,23
8688,0000-0002-0829-6315,53
8690,0000-0001-6802-6141,3
8691,0000-0002-2111-9313,6
8692,0000-0002-5810-529X,24
8693,0000-0002-2117-5366,33
8695,0000-0001-7224-925X,17
8696,0000-0001-6982-8074,12
8697,0000-0002-8771-1803,5
8698,0000-0002-0149-145X,6
8699,0000-0002-7532-7951,13
8700,0000-0001-5080-4435,7
8701,0000-0001-6911-3351,41
8702,0000-0001-9154-8909,24
8704,0000-0003-4094-9045,17
8706,0000-0002-8547-5309,27
8707,0000-0002-5775-1230,5
8708,0000-0001-9341-1287,24
8709,0000-0002-8680-8646,10
8710,0000-0002-9370-3279,42
8711,0000-0002-4155-8540,8
8716,0000-0001-9067-6538,9
8718,0000-0003-1629-2928,26
8720,0000-0001-8475-0586,10
8721,0000-0002-3099-8073,26
8723,0000-0001-7647-7604,15
8724,0000-0002-3271-9955,4
8725,0000-0002-0375-6669,22
8726,0000-0002-0437-6449,23
8727,0000-0001-8601-3598,10
8728,0000-0002-7729-9069,14
8729,0000-0001-5330-150X,11
8730,0000-0003-1522-4691,26
8731,0000-0001-5905-6760,12
8732,0000-0002-2448-4033,38
8733,0000-0003-2957-9573,15
8734,0000-0003-2008-227X,10
8736,0000-0001-9506-3781,16
8737,0000-0003-1922-5157,8
8738,0000-0001-6111-6291,27
8739,0000-0001-6347-8448,13
8740,0000-0002-1812-5720,11
8742,0000-0002-8433-1530,13
8744,0000-0001-8762-8703,20
8745,0000-0001-9497-7557,13
8748,0000-0002-2586-8274,26
8751,0000-0001-8486-8461,9
8752,0000-0002-7394-6804,31
8753,0000-0002-0883-104X,4
8754,0000-0001-6586-3905,35
8755,0000-0002-0127-2863,31
8757,0000-0002-9112-9349,4
8761,0000-0002-3436-3358,10
8762,0000-0003-3286-9846,13
8764,0000-0003-1459-9117,39
8765,0000-0002-9855-3185,5
8766,0000-0002-0992-3210,11
8767,0000-0003-2721-7763,19
8768,0000-0001-9652-9950,15
8770,0000-0002-3907-4838,8
8771,0000-0001-7412-8750,12
8772,0000-0001-5081-8503,13
8773,0000-0002-8883-8208,21
8774,0000-0002-8442-6724,15
8776,0000-0002-7529-4408,11
8779,0000-0001-9040-302X,12
8780,0000-0002-8104-0703,25
8781,0000-0003-1543-9342,45
8782,0000-0002-5764-5788,13
8783,0000-0001-6731-6980,24
8784,0000-0001-5262-5430,23
8785,0000-0003-3461-4492,30
8786,0000-0001-5151-5184,11
8787,0000-0002-1302-869X,2
8788,0000-0002-1178-4053,29
8789,0000-0002-1170-9475,32
8790,0000-0002-4729-7820,16
8793,0000-0002-3743-7869,18
8795,0000-0003-0080-5813,9
8796,0000-0001-5472-8337,11
8797,0000-0002-1936-9508,4
8798,0000-0002-2212-507X,8
8800,0000-0001-6072-3313,15
8802,0000-0001-5475-3583,27
8803,0000-0002-8385-6730,9
8804,0000-0002-0142-7853,8
8805,0000-0001-5479-9952,12
8806,0000-0003-2561-0174,11
8807,0000-0002-1600-9259,50
8808,0000-0001-6497-9885,29
8809,0000-0003-0564-3243,33
8812,0000-0003-3235-3698,10
8813,0000-0003-2489-4689,11
8815,0000-0001-9290-2703,2
8817,0000-0001-9291-5467,24
8818,0000-0002-2392-8608,16
8819,0000-0001-6289-9144,34
8820,0000-0001-5879-3048,21
8821,0000-0003-0947-9479,22
8823,0000-0001-8684-763X,45
8824,0000-0002-9318-2581,8
8825,0000-0002-3923-2998,8
8826,0000-0003-4996-7784,6
8828,0000-0003-0545-5656,17
8829,0000-0002-9453-4753,21
8830,0000-0002-5736-373X,39
8831,0000-0002-4041-5732,9
8832,0000-0001-8385-6100,8
8835,0000-0003-2892-7986,30
8836,0000-0001-8976-1057,8
8837,0000-0002-3399-174X,10
8839,0000-0002-5006-0832,54
8840,0000-0003-4670-8330,17
8841,0000-0003-2142-9116,24
8842,0000-0003-3829-4254,19
8843,0000-0002-4465-7034,22
8844,0000-0002-5729-9926,8
8845,0000-0001-9896-0613,12
8847,0000-0002-2352-4320,18
8848,0000-0003-3362-5376,5
8850,0000-0002-0383-3943,12
8852,0000-0003-0878-3110,27
8853,0000-0002-1952-4600,25
8854,0000-0001-6120-7695,10
8856,0000-0003-0511-4720,1
8857,0000-0001-6813-8282,13
8858,0000-0002-4197-0236,20
8859,0000-0001-5484-8224,25
8860,0000-0002-2844-4936,7
8861,0000-0002-7293-1395,7
8862,0000-0001-8248-8561,10
8863,0000-0001-6826-2662,10
8864,0000-0003-4539-1992,17
8866,0000-0003-4166-9213,8
8868,0000-0003-1241-385X,23
8874,0000-0002-5176-2983,28
8875,0000-0002-4982-2457,9
8876,0000-0001-6398-6370,5
8877,0000-0002-0551-4209,17
8878,0000-0003-0756-1954,7
8879,0000-0001-5915-2445,17
8880,0000-0002-5006-2037,28
8881,0000-0002-8495-9782,8
8882,0000-0002-5786-8447,18
8885,0000-0002-6902-8488,12
8887,0000-0002-9576-8017,3
8889,0000-0001-7786-7030,35
8890,0000-0003-3868-2919,5
8891,0000-0001-5012-4309,8
8895,0000-0001-6635-1418,13
8896,0000-0002-5753-8528,9
8897,0000-0001-6925-885X,7
8898,0000-0003-1635-9205,12
8900,0000-0003-1459-5896,16
8901,0000-0002-5239-0173,6
8902,0000-0001-6981-5679,13
8904,0000-0001-9304-3998,9
8905,0000-0001-7693-5775,6
8906,0000-0003-4835-3692,7
8907,0000-0002-0439-8170,7
8909,0000-0002-5733-7830,38
8910,0000-0001-9281-3743,5
8912,0000-0003-2629-0723,5
8913,0000-0003-4095-1399,8
8915,0000-0001-5747-8900,11
8916,0000-0001-6357-0615,3
8917,0000-0003-2226-7913,9
8918,0000-0002-4496-6478,37
8919,0000-0003-2196-5103,4
8920,0000-0002-9487-597X,6
8921,0000-0002-6843-9592,9
8922,0000-0003-1542-4343,25
8923,0000-0002-9120-664X,14
8924,0000-0002-7483-7378,17
8925,0000-0003-1592-5041,17
8926,0000-0002-3827-7369,10
8927,0000-0002-1743-0387,19
8928,0000-0002-4606-5163,10
8929,0000-0001-8901-9450,24
8930,0000-0001-6009-7359,24
8932,0000-0002-3626-8928,8
8934,0000-0003-1000-1448,13
8935,0000-0002-4704-0179,32
8936,0000-0002-0376-8811,11
8940,0000-0002-4880-1670,25
8943,0000-0001-6643-3923,35
8945,0000-0001-9824-3657,44
8946,0000-0002-4474-3274,11
8947,0000-0002-4345-1616,24
8949,0000-0001-6393-8563,17
8950,0000-0001-6846-1194,7
8951,0000-0001-6801-3455,8
8952,0000-0003-4596-0059,3
8953,0000-0002-6394-9876,11
8954,0000-0001-9260-364X,3
8955,0000-0003-1716-1970,10
8956,0000-0001-9788-4831,4
8957,0000-0003-0603-1097,31
8958,0000-0001-6938-2498,13
8959,0000-0002-3640-8046,22
8961,0000-0002-3795-8365,8
8963,0000-0001-7893-6421,51
8964,0000-0001-6700-1022,3
8966,0000-0001-6673-5630,35
8967,0000-0002-4177-9749,4
8970,0000-0003-3406-4670,7
8971,0000-0002-8060-2313,38
8973,0000-0002-8145-2345,30
8975,0000-0002-5808-2606,14
8976,0000-0001-6733-7300,15
8977,0000-0001-5804-4960,2
8980,0000-0002-2846-3192,8
8981,0000-0002-5821-703X,14
8982,0000-0003-0514-599X,33
8984,0000-0003-1681-1273,3
8985,0000-0001-5970-3294,14
8986,0000-0001-6792-8741,21
8987,0000-0001-9871-2089,7
8988,0000-0002-8797-0477,9
8989,0000-0001-7923-3939,12
8990,0000-0002-5214-2604,14
8991,0000-0003-1904-6773,3
8992,0000-0001-9570-6361,4
8993,0000-0002-0465-1762,10
8994,0000-0002-6803-507X,7
8995,0000-0002-8515-007X,7
8999,0000-0002-7811-3377,15
9000,0000-0002-1807-2972,13
9001,0000-0003-1522-3496,4
9002,0000-0002-7927-9483,21
9003,0000-0001-6532-6464,34
9004,0000-0002-8147-6953,14
9005,0000-0001-9177-8165,23
9006,0000-0002-6578-7890,7
9007,0000-0002-3935-9278,13
9010,0000-0002-2296-1764,10
9011,0000-0002-7197-0552,48
9012,0000-0003-1129-3489,7
9018,0000-0003-0331-1798,11
9019,0000-0001-9498-2620,11
9021,0000-0001-7088-3468,13
9023,0000-0002-8993-4859,22
9027,0000-0002-2069-7349,41
9028,0000-0003-1927-2199,15
9029,0000-0001-7295-6616,17
9030,0000-0001-8178-8917,40
9031,0000-0002-4342-962X,22
9034,0000-0003-2075-2691,24
9036,0000-0002-3380-9485,16
9037,0000-0001-6982-9253,19
9038,0000-0002-6992-854X,4
9039,0000-0003-0010-3416,20
9040,0000-0002-7183-1333,8
9041,0000-0003-0023-2939,7
9042,0000-0002-1616-2448,16
9043,0000-0003-3839-6330,13
9044,0000-0002-5768-2714,11
9046,0000-0001-9632-0399,1
9048,0000-0002-9786-1493,7
9049,0000-0001-6148-1184,18
9050,0000-0002-6260-6310,55
9051,0000-0003-0071-6757,3
9052,0000-0003-2286-7265,3
9053,0000-0002-4554-2730,13
9054,0000-0002-8715-6619,10
9055,0000-0002-2880-8680,41
9056,0000-0003-3398-0562,9
9057,0000-0002-4313-3298,17
9058,0000-0003-0133-3176,64
9059,0000-0002-5246-2261,6
9063,0000-0002-1117-2188,10
9064,0000-0002-8429-8136,19
9065,0000-0002-1296-3555,10
9067,0000-0003-3049-7145,15
9069,0000-0002-1889-2874,10
9070,0000-0002-2165-1369,5
9072,0000-0001-5660-1727,5
9073,0000-0002-5964-026X,1
9076,0000-0001-6469-8733,35
9078,0000-0003-2998-8481,34
9080,0000-0002-7800-7654,2
9081,0000-0002-7035-7799,40
9082,0000-0001-9670-4210,16
9083,0000-0003-4871-9260,14
9084,0000-0001-9171-820X,3
9086,0000-0002-6300-2906,2
9087,0000-0001-7731-3601,15
9088,0000-0002-7837-4227,12
9089,0000-0001-6486-9678,11
9090,0000-0001-5415-6420,7
9091,0000-0003-4243-9591,10
9092,0000-0003-0596-8072,6
9093,0000-0002-5052-5927,19
9094,0000-0001-7695-0991,5
9095,0000-0002-9433-1649,7
9096,0000-0002-1264-7309,17
9097,0000-0002-0663-6902,5
9099,0000-0001-8498-565X,10
9100,0000-0003-0129-9908,7
9101,0000-0001-7850-6309,47
9102,0000-0001-8420-0787,12
9103,0000-0003-2555-3069,26
9104,0000-0002-8070-4352,16
9105,0000-0001-6379-1928,6
9106,0000-0002-7882-3694,7
9107,0000-0001-8520-1300,9
9108,0000-0001-9114-8737,20
9109,0000-0003-1752-142X,6
9110,0000-0001-9486-8481,12
9111,0000-0003-1156-6811,3
9112,0000-0002-4868-4988,11
9113,0000-0003-4850-2360,53
9114,0000-0003-3303-6299,37
9116,0000-0002-4977-6569,14
9117,0000-0001-5774-5415,9
9118,0000-0003-0812-7770,9
9119,0000-0001-8859-5034,13
9120,0000-0002-0703-951X,20
9121,0000-0002-5735-9626,16
9122,0000-0003-0925-689X,18
9123,0000-0003-0722-5643,36
9125,0000-0003-3018-7921,13
9126,0000-0003-0316-6391,4
9127,0000-0001-6638-202X,11
9128,0000-0002-6686-3971,8
9130,0000-0002-6118-0629,12
9131,0000-0002-1988-6775,7
9132,0000-0002-0488-825X,16
9133,0000-0002-5057-5457,16
9134,0000-0002-4551-2697,29
9137,0000-0002-8272-6707,21
9138,0000-0001-5743-0149,11
9139,0000-0002-4005-5183,32
9140,0000-0002-3683-8708,6
9141,0000-0003-0613-108X,2
9142,0000-0003-2409-1181,8
9143,0000-0002-8810-2911,32
9144,0000-0002-1761-2914,3
9145,0000-0003-4036-7117,2
9147,0000-0003-4851-0870,19
9149,0000-0003-2936-6308,7
9150,0000-0001-9622-0312,9
9151,0000-0003-3049-477X,19
9152,0000-0001-7599-3201,22
9154,0000-0001-7200-0788,4
9158,0000-0002-1750-1085,20
9159,0000-0001-7896-5695,3
9160,0000-0002-1396-3194,16
9161,0000-0002-4772-0780,17
9162,0000-0002-6436-7966,37
9164,0000-0003-4023-3506,5
9165,0000-0003-0610-1956,20
9166,0000-0002-8322-6421,20
9167,0000-0002-9848-1409,6
9168,0000-0002-2898-748X,13
9169,0000-0002-7444-9359,4
9171,0000-0002-3972-5733,6
9173,0000-0002-2618-347X,7
9175,0000-0003-3656-1689,20
9182,0000-0002-4001-7187,20
9183,0000-0002-7949-8459,10
9184,0000-0002-8718-1988,19
9185,0000-0001-9016-4954,32
9186,0000-0001-6987-2550,18
9187,0000-0002-9342-7411,34
9188,0000-0001-5434-5037,39
9190,0000-0002-9450-305X,9
9191,0000-0002-0589-2584,34
9192,0000-0002-4353-5027,9
9193,0000-0001-5570-875X,22
9194,0000-0002-6958-8514,19
9196,0000-0001-9852-1135,12
9198,0000-0001-5420-8606,12
9199,0000-0002-4583-7790,30
9201,0000-0002-9401-7377,25
9202,0000-0002-0195-7061,25
9203,0000-0001-6123-3375,13
9204,0000-0001-7568-5129,5
9205,0000-0002-2412-0459,43
9206,0000-0002-2903-4218,12
9209,0000-0002-7036-5035,15
9210,0000-0002-2729-2838,19
9211,0000-0001-9019-1135,10
9212,0000-0002-5030-0330,22
9213,0000-0003-4327-6544,1
9214,0000-0002-9688-1804,25
9215,0000-0003-2531-8413,28
9216,0000-0002-7104-5826,27
9217,0000-0002-5129-3953,12
9218,0000-0001-5313-4828,3
9219,0000-0003-1786-3307,12
9221,0000-0001-5728-9827,16
9223,0000-0001-5012-654X,5
9224,0000-0003-2796-7468,41
9225,0000-0002-9161-1004,8
9228,0000-0003-0456-2978,11
9230,0000-0001-7190-3379,6
9231,0000-0002-5163-2230,13
9232,0000-0002-0064-096X,18
9234,0000-0001-7077-0164,13
9238,0000-0002-4747-1032,8
9239,0000-0002-5083-7322,16
9241,0000-0002-8113-0450,36
9242,0000-0002-6796-642X,9
9245,0000-0003-3413-2418,23
9246,0000-0001-8190-3444,20
9247,0000-0002-7573-0759,18
9248,0000-0002-5927-372X,10
9249,0000-0002-8521-714X,8
9250,0000-0001-9743-7265,13
9251,0000-0002-6365-0735,20
9253,0000-0002-0125-0744,18
9254,0000-0002-2209-340X,22
9255,0000-0002-6969-7243,17
9256,0000-0003-4713-9213,3
9258,0000-0001-6884-7302,10
9260,0000-0002-4846-7967,6
9262,0000-0002-0523-6325,8
9263,0000-0002-3209-8693,39
9264,0000-0002-3547-6733,23
9265,0000-0002-7129-868X,7
9266,0000-0001-8496-2001,8
9269,0000-0003-2786-0281,9
9271,0000-0001-5552-6382,27
9272,0000-0002-6675-9429,6
9274,0000-0002-4055-8581,10
9277,0000-0003-3097-7667,11
9279,0000-0002-0380-4704,4
9281,0000-0001-5242-8189,24
9283,0000-0002-9644-302X,13
9284,0000-0002-8921-2725,10
9286,0000-0002-5763-0236,13
9287,0000-0001-9953-0279,20
9289,0000-0002-3688-7614,12
9290,0000-0002-7269-3016,16
9291,0000-0002-6175-3941,10
9295,0000-0001-5999-8811,23
9297,0000-0002-0719-5336,18
9299,0000-0001-7404-0038,4
9300,0000-0003-3640-1597,4
9301,0000-0002-4995-2251,7
9304,0000-0003-0814-5469,41
9305,0000-0003-1537-0859,27
9306,0000-0001-8504-4077,15
9307,0000-0002-9634-2763,3
9308,0000-0002-8385-1702,15
9309,0000-0003-1380-6655,49
9310,0000-0003-4046-0813,16
9311,0000-0002-7007-7914,12
9313,0000-0002-4627-8185,6
9315,0000-0001-6130-8381,9
9316,0000-0002-1089-5675,22
9321,0000-0003-4541-738X,4
9322,0000-0001-6255-6483,9
9323,0000-0002-4603-7939,18
9324,0000-0001-8510-341X,2
9325,0000-0001-9817-6319,23
9327,0000-0003-2857-3479,32
9329,0000-0002-4254-9099,5
9330,0000-0001-6359-3382,5
9331,0000-0001-6823-6069,15
9333,0000-0002-0940-4541,10
9334,0000-0003-3645-2343,4
9335,0000-0002-9893-4359,19
9337,0000-0003-2728-0666,19
9339,0000-0001-7993-8584,4
9340,0000-0003-1340-0647,63
9342,0000-0003-0776-9288,5
9344,0000-0001-5160-6027,9
9345,0000-0003-2519-6129,12
9346,0000-0001-9718-996X,12
9347,0000-0002-5601-1265,31
9349,0000-0002-3833-1871,15
9351,0000-0001-8968-1161,4
9352,0000-0001-6719-7969,2
9353,0000-0002-4716-8295,8
9354,0000-0002-5868-0462,16
9355,0000-0002-8040-3226,21
9356,0000-0001-9160-4544,11
9357,0000-0003-1578-0524,30
9359,0000-0003-3749-8730,13
9360,0000-0001-8938-5290,18
9361,0000-0002-1783-1084,23
9362,0000-0001-9668-9866,5
9364,0000-0002-9027-9417,3
9366,0000-0002-4559-1460,8
9367,0000-0002-8057-2783,47
9368,0000-0001-7502-7265,17
9369,0000-0002-1931-0549,11
9371,0000-0002-4257-1325,17
9375,0000-0002-6081-5442,17
9376,0000-0002-1774-3201,35
9377,0000-0002-6339-5738,49
9378,0000-0002-7174-7270,5
9379,0000-0002-9486-2343,36
9381,0000-0002-6430-5888,15
9382,0000-0002-9540-6622,28
9384,0000-0002-5959-5729,42
9386,0000-0003-3183-7594,3
9387,0000-0003-0253-4295,15
9388,0000-0002-0210-9013,9
9389,0000-0002-2560-2484,16
9395,0000-0002-0228-169X,14
9396,0000-0002-9021-8956,20
9397,0000-0003-4759-6617,14
9398,0000-0003-1052-5348,15
9399,0000-0002-1463-4069,14
9400,0000-0002-6349-6950,21
9401,0000-0001-9563-0686,7
9402,0000-0001-9089-2599,18
9403,0000-0002-4771-8349,9
9404,0000-0001-7948-4498,9
9405,0000-0003-0119-732X,36
9406,0000-0003-4177-1840,3
9407,0000-0001-8000-0219,29
9408,0000-0001-7928-0364,36
9409,0000-0001-8923-5671,22
9410,0000-0001-5212-7052,1
9412,0000-0002-9193-7696,12
9413,0000-0003-3840-8952,4
9417,0000-0003-0381-028X,8
9418,0000-0001-7474-0173,17
9419,0000-0002-2819-7584,9
9420,0000-0001-7283-2015,18
9421,0000-0002-0185-197X,8
9422,0000-0002-1044-0881,21
9423,0000-0002-7811-197X,6
9425,0000-0003-0700-6993,12
9428,0000-0002-2690-7095,5
9430,0000-0002-4564-4702,25
9431,0000-0001-9973-8352,10
9432,0000-0001-7014-8121,56
9434,0000-0003-0836-6333,11
9436,0000-0001-7102-4163,13
9437,0000-0002-2857-786X,16
9438,0000-0002-7539-3465,17
9440,0000-0003-2735-9550,16
9441,0000-0003-4101-0654,8
9444,0000-0002-9058-4278,5
9445,0000-0001-9755-2490,26
9446,0000-0001-9675-3530,7
9447,0000-0002-4870-8978,8
9448,0000-0001-8021-9798,23
9449,0000-0002-2131-7467,10
9452,0000-0001-7637-7275,13
9453,0000-0002-1162-7242,46
9454,0000-0001-5454-0406,2
9455,0000-0003-1031-8824,8
9457,0000-0002-3950-5351,63
9458,0000-0002-7277-6233,19
9460,0000-0001-6201-5599,31
9462,0000-0002-0208-7264,7
9463,0000-0002-6046-1234,14
9464,0000-0002-8359-9818,11
9466,0000-0001-9742-8756,23
9467,0000-0002-9912-9028,30
9468,0000-0001-6841-1963,11
9473,0000-0003-4065-2639,12
9474,0000-0001-6415-4648,8
9475,0000-0002-1071-5355,3
9477,0000-0002-1313-2091,18
9479,0000-0002-5887-9682,18
9480,0000-0002-9877-7816,24
9481,0000-0002-8155-136X,1
9482,0000-0001-7583-0592,4
9484,0000-0001-8189-6045,7
9485,0000-0002-1514-0909,16
9487,0000-0003-4459-9142,25
9488,0000-0001-7435-7262,27
9491,0000-0002-4505-0939,12
9495,0000-0003-0801-6499,21
9496,0000-0002-7199-6170,2
9497,0000-0002-6635-2127,19
9498,0000-0002-0353-365X,12
9499,0000-0001-6866-1540,7
9500,0000-0003-2909-3880,8
9502,0000-0001-5003-3300,7
9504,0000-0002-8928-2520,28
9505,0000-0003-2493-3609,26
9507,0000-0003-0180-4695,7
9508,0000-0002-5075-3639,14
9509,0000-0002-5870-2537,3
9510,0000-0002-7951-4148,14
9511,0000-0002-5060-3657,10
9512,0000-0002-1512-7667,28
9513,0000-0001-7167-908X,9
9514,0000-0003-1683-9276,24
9515,0000-0002-3141-9539,5
9516,0000-0003-4764-8851,7
9517,0000-0001-8793-9982,7
9518,0000-0002-1257-1201,14
9519,0000-0002-6710-3309,8
9520,0000-0003-2356-6659,15
9521,0000-0002-8213-0604,18
9523,0000-0002-2889-9551,5
9524,0000-0003-3342-9930,15
9526,0000-0001-9822-7825,7
9527,0000-0003-2540-539X,10
9528,0000-0003-0682-023X,27
9529,0000-0001-5572-7694,4
9530,0000-0002-2151-0574,4
9531,0000-0003-0097-2953,11
9532,0000-0002-9509-0613,8
9533,0000-0001-9314-2283,31
9534,0000-0003-2978-8762,41
9535,0000-0002-2565-6239,9
9536,0000-0002-7131-3667,8
9537,0000-0002-2241-7603,15
9538,0000-0003-1717-1853,5
9539,0000-0002-5876-2599,16
9540,0000-0003-3671-2117,6
9541,0000-0002-0472-4263,7
9542,0000-0002-9300-5710,28
9543,0000-0003-2795-0711,4
9544,0000-0001-6880-7765,3
9545,0000-0002-8867-7256,30
9546,0000-0001-9616-3274,3
9549,0000-0001-5592-0232,4
9550,0000-0001-5123-6513,12
9551,0000-0001-5055-9046,15
9552,0000-0002-7886-0727,13
9553,0000-0002-2782-6780,38
9554,0000-0001-8936-430X,6
9557,0000-0003-4005-1753,18
9558,0000-0003-2096-8310,21
9559,0000-0002-4585-2958,2
9560,0000-0002-0623-1067,5
9562,0000-0002-6528-0766,5
9563,0000-0003-4929-5316,28
9564,0000-0001-5983-397X,2
9565,0000-0002-9994-4831,26
9566,0000-0002-4119-701X,26
9567,0000-0002-4079-1957,7
