codigo_autor,codigo_coautor,num_coautorías,num_publicaciones_totales,coautorías_normalizadas
0000-0002-6985-4907,0000-0002-8356-894X,4,69,0.057971014492753624
0000-0001-9207-5787,0000-0002-6985-4907,5,10,0.5
0000-0001-9207-5787,0000-0002-8356-894X,9,10,0.9
0000-0001-9207-5787,0000-0002-8396-0968,5,10,0.5
0000-0002-8356-894X,0000-0002-6985-4907,4,10,0.4
0000-0002-8356-894X,0000-0001-9207-5787,9,10,0.9
0000-0002-8356-894X,0000-0002-8396-0968,4,10,0.4
0000-0002-8396-0968,0000-0001-9207-5787,5,62,0.08064516129032258
0000-0002-8396-0968,0000-0002-8356-894X,4,62,0.06451612903225806
0000-0002-7382-0080,0000-0002-4524-9403,3,67,0.04477611940298507
0000-0002-4524-9403,0000-0002-7382-0080,3,7,0.42857142857142855
0000-0002-9920-936X,0000-0002-1761-117X,4,7,0.5714285714285714
0000-0002-1761-117X,0000-0002-9920-936X,4,6,0.6666666666666666
0000-0001-6185-9423,0000-0002-9081-2699,12,20,0.6
0000-0002-9081-2699,0000-0001-6185-9423,12,84,0.14285714285714285
0000-0001-6940-7608,0000-0001-8426-8490,41,42,0.9761904761904762
0000-0001-8426-8490,0000-0001-6940-7608,41,55,0.7454545454545455
0000-0002-5214-540X,0000-0002-6031-9254,4,16,0.25
0000-0002-6031-9254,0000-0002-5214-540X,4,18,0.2222222222222222
0000-0002-3894-9049,0000-0001-6930-2988,1,7,0.14285714285714285
0000-0001-6930-2988,0000-0002-3894-9049,1,16,0.0625
0000-0002-4574-3292,0000-0001-6320-413X,23,85,0.27058823529411763
0000-0001-6320-413X,0000-0002-4574-3292,23,24,0.9583333333333334
0000-0002-1975-1141,0000-0002-7966-1973,6,100,0.06
0000-0002-7966-1973,0000-0002-1975-1141,6,67,0.08955223880597014
0000-0002-6233-719X,0000-0002-8482-5784,36,106,0.33962264150943394
0000-0002-8482-5784,0000-0002-6233-719X,36,227,0.15859030837004406
0000-0001-7680-3254,0000-0001-5994-5138,47,100,0.47
0000-0001-7680-3254,0000-0002-0320-8574,13,100,0.13
0000-0001-5994-5138,0000-0001-7680-3254,47,54,0.8703703703703703
0000-0001-5994-5138,0000-0002-0320-8574,12,54,0.2222222222222222
0000-0002-0320-8574,0000-0001-7680-3254,13,33,0.3939393939393939
0000-0002-0320-8574,0000-0001-5994-5138,12,33,0.36363636363636365
0000-0002-4197-4026,0000-0001-8518-6307,12,130,0.09230769230769231
0000-0002-4197-4026,0000-0001-9032-8998,3,130,0.023076923076923078
0000-0001-8518-6307,0000-0002-4197-4026,12,169,0.07100591715976332
0000-0001-8518-6307,0000-0001-9032-8998,16,169,0.09467455621301775
0000-0001-9032-8998,0000-0002-4197-4026,3,97,0.030927835051546393
0000-0001-9032-8998,0000-0001-8518-6307,16,97,0.16494845360824742
0000-0001-7985-5658,0000-0003-4962-4714,1,17,0.058823529411764705
0000-0003-4962-4714,0000-0001-7985-5658,1,40,0.025
0000-0003-4875-1447,0000-0002-3778-4107,2,19,0.10526315789473684
0000-0003-4875-1447,0000-0002-9623-2599,7,19,0.3684210526315789
0000-0003-4875-1447,0000-0002-6796-3675,1,19,0.05263157894736842
0000-0003-4875-1447,0000-0002-1037-5346,2,19,0.10526315789473684
0000-0002-3778-4107,0000-0003-4875-1447,2,3,0.6666666666666666
0000-0002-3778-4107,0000-0002-9623-2599,3,3,1.0
0000-0002-3778-4107,0000-0002-6796-3675,1,3,0.3333333333333333
0000-0002-3778-4107,0000-0002-1037-5346,1,3,0.3333333333333333
0000-0002-9623-2599,0000-0003-4875-1447,7,34,0.20588235294117646
0000-0002-9623-2599,0000-0002-3778-4107,3,34,0.08823529411764706
0000-0002-9623-2599,0000-0002-6796-3675,3,34,0.08823529411764706
0000-0002-9623-2599,0000-0002-1037-5346,3,34,0.08823529411764706
0000-0002-6796-3675,0000-0003-4875-1447,1,12,0.08333333333333333
0000-0002-6796-3675,0000-0002-3778-4107,1,12,0.08333333333333333
0000-0002-6796-3675,0000-0002-9623-2599,3,12,0.25
0000-0002-6796-3675,0000-0002-1037-5346,5,12,0.4166666666666667
0000-0002-1037-5346,0000-0003-4875-1447,2,21,0.09523809523809523
0000-0002-1037-5346,0000-0002-3778-4107,1,21,0.047619047619047616
0000-0002-1037-5346,0000-0002-9623-2599,3,21,0.14285714285714285
