,codigo_autor,publicaciones_totales
2659,0000-0002-7439-3834,20
2660,0000-0003-3150-6154,83
2661,0000-0001-5958-7115,21
2662,0000-0003-1988-1250,150
2663,0000-0003-3576-8530,65
2664,0000-0001-7958-7681,19
2665,0000-0001-5509-9923,30
2666,0000-0001-9453-7383,34
2667,0000-0001-8249-5593,73
2668,0000-0003-1869-4314,31
2669,0000-0001-9490-7532,76
2670,0000-0001-6648-5803,18
2671,0000-0002-1427-5780,57
2672,0000-0002-2678-9439,8
2673,0000-0001-6482-8040,6
2674,0000-0003-0876-0031,30
2675,0000-0002-4295-6129,209
2676,0000-0001-8740-2667,7
2677,0000-0003-4306-2933,37
2678,0000-0002-9837-0944,26
2679,0000-0002-2968-9898,42
2680,0000-0001-6249-3304,19
2681,0000-0002-8858-3401,27
2682,0000-0002-7803-242X,44
2683,0000-0002-1376-8532,87
2684,0000-0001-9606-6853,14
2685,0000-0002-4329-9028,11
2686,0000-0003-1835-9436,89
2687,0000-0002-3532-5396,5
2688,0000-0003-1147-0596,24
2689,0000-0002-4852-831X,36
2690,0000-0001-9901-2578,16
2691,0000-0001-5403-9478,20
2692,0000-0003-1381-4022,26
2693,0000-0002-6849-6554,22
2694,0000-0001-8162-6758,36
2695,0000-0003-4697-9640,2
2696,0000-0002-3058-2596,27
2697,0000-0003-1412-1308,34
2698,0000-0003-3061-9560,42
2699,0000-0002-3474-2884,10
2700,0000-0002-8193-5355,31
2701,0000-0002-2861-3322,16
2702,0000-0002-8048-2681,38
2703,0000-0001-5759-3175,58
2704,0000-0002-0817-5425,5
2705,0000-0002-6809-9225,26
2706,0000-0002-5713-6967,50
2707,0000-0002-2603-8117,14
2708,0000-0003-0261-018X,2
2709,0000-0003-1714-9963,22
2710,0000-0001-5144-0776,15
2711,0000-0003-4814-6853,60
2712,0000-0001-6163-7484,66
2713,0000-0002-2470-2475,48
2714,0000-0002-8982-2558,4
2715,0000-0001-5294-8707,57
2716,0000-0002-5522-3266,3
2717,0000-0002-6467-8289,15
2718,0000-0002-5411-3233,62
2719,0000-0001-8664-623X,34
2720,0000-0003-3354-5472,51
2721,0000-0002-9444-9524,42
2722,0000-0003-3786-8199,16
2723,0000-0001-5274-1781,42
2724,0000-0002-3293-7397,24
2725,0000-0002-2823-1762,73
2726,0000-0002-7553-5064,12
2727,0000-0002-7973-6322,8
2728,0000-0002-0090-4531,51
2729,0000-0002-1788-5170,62
2730,0000-0003-0298-9660,35
2731,0000-0002-5651-1411,97
2732,0000-0002-7851-3506,4
2733,0000-0003-0972-928X,68
2734,0000-0002-2626-7964,4
2735,0000-0001-8888-0046,36
2736,0000-0002-8340-5219,16
2737,0000-0001-7216-8679,80
2738,0000-0001-8380-807X,4
2739,0000-0001-8444-8504,19
2740,0000-0001-6676-6429,1
2741,0000-0001-7168-9464,35
2742,0000-0002-2133-4304,30
2743,0000-0003-0737-0437,29
2744,0000-0002-9543-9440,18
2745,0000-0002-8136-0977,81
2746,0000-0001-8883-0495,1
2747,0000-0002-8921-9265,8
2748,0000-0003-3337-6605,2
2749,0000-0002-8394-6736,25
2750,0000-0003-4000-2388,17
2751,0000-0002-3851-2613,40
2752,0000-0003-0063-6378,113
2753,0000-0002-4365-3859,63
2754,0000-0001-8583-1812,10
2755,0000-0003-0581-1817,4
2756,0000-0001-9475-0344,33
2757,0000-0003-0464-7082,11
2758,0000-0002-4437-0260,17
2759,0000-0001-8408-4499,39
2760,0000-0003-3692-7169,74
2761,0000-0002-0503-5558,17
2762,0000-0002-2770-8573,21
2763,0000-0002-3927-8646,55
2764,0000-0002-1122-8444,13
2765,0000-0002-1551-6718,19
2766,0000-0002-4259-456X,29
2767,0000-0003-0552-7402,9
2768,0000-0002-7711-7499,49
2769,0000-0001-8634-1778,3
2770,0000-0002-5699-4222,9
2771,0000-0003-3731-5797,66
2772,0000-0001-9429-5855,21
2773,0000-0002-5861-3390,3
2774,0000-0002-3540-6225,18
2775,0000-0001-9524-6908,36
2776,0000-0002-6762-9976,12
2777,0000-0002-1405-0901,24
2778,0000-0002-1813-167X,4
2779,0000-0001-7563-0806,9
2780,0000-0002-3956-0190,14
2781,0000-0001-8783-0450,77
2782,0000-0003-2592-9898,86
2783,0000-0001-8303-0261,15
2784,0000-0003-2394-412X,14
2785,0000-0002-6720-9824,61
2786,0000-0001-5705-469X,23
2787,0000-0003-0052-8852,21
2788,0000-0001-7065-3523,25
2789,0000-0001-6917-8980,19
2790,0000-0001-9912-0544,33
2791,0000-0001-9676-6251,49
2792,0000-0002-2685-8377,3
2793,0000-0003-0089-4393,15
2794,0000-0002-5738-4477,79
2795,0000-0003-3934-0072,14
2796,0000-0002-5613-1881,140
2797,0000-0001-7807-1229,21
2798,0000-0001-5799-5895,80
2799,0000-0003-2295-449X,19
2800,0000-0003-0311-9069,59
2801,0000-0002-7918-8047,7
2802,0000-0003-3645-3442,4
2803,0000-0001-6969-2955,24
2804,0000-0001-9675-4883,65
2805,0000-0002-6301-6363,89
2806,0000-0002-7728-852X,54
2807,0000-0001-8533-3004,35
2808,0000-0001-7560-8924,126
2809,0000-0003-0599-0069,11
2810,0000-0002-9691-1671,10
2811,0000-0002-4508-8646,39
2812,0000-0003-0595-2898,220
2813,0000-0001-5266-3445,50
2814,0000-0002-3017-2140,4
2815,0000-0002-5240-2808,48
2816,0000-0001-8999-6999,23
2817,0000-0001-6495-2244,53
2818,0000-0002-5615-1014,7
2819,0000-0001-9581-2922,38
2820,0000-0002-8358-9425,27
2821,0000-0002-9156-1633,27
2822,0000-0001-5824-0590,30
2823,0000-0002-0961-2607,34
2824,0000-0002-3565-8967,14
2825,0000-0003-4398-0320,24
2826,0000-0001-8498-5895,16
2827,0000-0001-5438-6808,25
2828,0000-0002-4498-7105,5
2829,0000-0003-4979-8749,4
2830,0000-0002-0712-2639,64
2831,0000-0002-4934-8863,36
2832,0000-0001-6204-6045,55
2833,0000-0002-3392-9946,82
2834,0000-0002-1600-4474,82
2835,0000-0003-2758-9399,34
2836,0000-0001-8484-4750,30
2837,0000-0002-7027-1207,17
2838,0000-0002-9881-3119,31
2839,0000-0001-9242-9901,31
2840,0000-0001-7250-0678,12
2841,0000-0003-2893-8415,108
2842,0000-0002-3507-8268,6
2843,0000-0002-7030-2288,58
2844,0000-0002-2834-6009,16
2845,0000-0001-5474-4361,44
2846,0000-0001-7898-2786,55
2847,0000-0002-1383-6865,40
2848,0000-0003-2793-2388,36
2849,0000-0001-6946-6907,15
2850,0000-0001-6633-7632,91
2851,0000-0002-8936-9570,39
2852,0000-0002-4416-6796,15
2853,0000-0002-9079-4769,18
2854,0000-0003-2973-9514,29
2855,0000-0002-0693-1194,21
2856,0000-0001-8169-4099,7
2857,0000-0002-2892-4024,64
2858,0000-0001-5782-6303,19
2859,0000-0002-6729-5881,4
2860,0000-0003-1547-2193,5
2861,0000-0001-9235-6730,26
2862,0000-0002-2615-4521,45
2863,0000-0002-5465-9068,86
2864,0000-0001-5396-3378,6
2865,0000-0002-8864-4446,46
2866,0000-0002-8152-6615,53
2867,0000-0001-7013-0116,26
2868,0000-0003-3841-1676,11
2869,0000-0002-3691-6841,2
2870,0000-0003-4354-7295,24
2871,0000-0002-7720-8817,44
2872,0000-0002-8442-127X,25
2873,0000-0003-2263-9545,25
2874,0000-0002-7689-3613,39
2875,0000-0001-8875-9289,13
2876,0000-0002-2172-7394,66
2877,0000-0002-4098-7466,1
2878,0000-0002-1224-4809,7
2879,0000-0003-3013-1186,10
2880,0000-0002-1179-2272,12
2881,0000-0003-2556-2029,17
2882,0000-0003-3532-6660,45
2883,0000-0002-5807-5385,18
2884,0000-0002-5791-8555,12
2885,0000-0002-3768-1749,74
2886,0000-0002-6304-1710,81
2887,0000-0002-9097-7944,40
2888,0000-0003-0214-7076,8
2889,0000-0002-8884-6961,9
2890,0000-0002-4051-6592,1
2891,0000-0001-6404-4430,26
2892,0000-0002-8005-8522,12
2893,0000-0003-2040-2448,79
2894,0000-0002-4021-5853,45
2895,0000-0002-3239-1419,12
2896,0000-0002-1135-9356,79
2897,0000-0002-4284-5082,8
2898,0000-0003-1311-7884,15
2899,0000-0001-6708-9781,19
2900,0000-0002-0526-393X,36
2901,0000-0003-0234-9209,75
2902,0000-0001-6424-6577,34
2903,0000-0002-7638-6048,12
2904,0000-0003-2080-3794,16
2905,0000-0002-7547-6025,16
2906,0000-0001-6220-9414,44
2907,0000-0002-9482-3168,5
2908,0000-0003-1704-0642,14
2909,0000-0002-4947-0412,28
2910,0000-0003-4485-1176,55
2911,0000-0002-9362-0086,68
2912,0000-0002-4542-4996,34
2913,0000-0002-5841-5773,43
2914,0000-0002-1836-1707,21
2915,0000-0001-7414-5729,17
2916,0000-0002-6806-2975,8
2917,0000-0001-5394-9074,8
2918,0000-0001-7060-5871,45
2919,0000-0001-9455-5442,11
2920,0000-0002-5871-2831,12
2921,0000-0001-9640-4015,9
2922,0000-0002-0143-4324,24
2923,0000-0002-0000-0452,21
2924,0000-0001-7081-1456,14
2925,0000-0002-0712-2540,131
2926,0000-0001-7473-7409,46
2927,0000-0001-6250-048X,7
2928,0000-0002-0032-0878,7
2929,0000-0002-1917-7450,32
2930,0000-0002-9985-9565,13
2931,0000-0002-4499-3396,57
2932,0000-0002-2730-6080,71
2933,0000-0002-3128-1330,26
2934,0000-0001-5435-4750,65
2935,0000-0002-8809-5010,12
2936,0000-0003-4412-9191,5
2937,0000-0002-7284-5948,31
2938,0000-0003-3339-2584,17
2939,0000-0003-2629-9568,108
2940,0000-0002-8663-0374,25
2941,0000-0003-3516-7516,37
2942,0000-0002-0462-6794,17
2943,0000-0002-4158-2591,2
2944,0000-0002-9038-2238,39
2945,0000-0003-4175-6413,26
2946,0000-0002-6296-7132,20
2947,0000-0002-1385-9709,21
2948,0000-0002-3269-1438,5
2949,0000-0001-7622-7939,84
2950,0000-0003-1954-3542,27
2951,0000-0003-3530-5472,18
2952,0000-0002-6807-5426,39
2953,0000-0003-2587-3863,42
2954,0000-0002-5404-9606,24
2955,0000-0001-5678-2134,93
2956,0000-0003-0209-5261,16
2957,0000-0002-6297-2070,10
2958,0000-0001-7533-0117,17
2959,0000-0001-8009-7655,46
2960,0000-0002-4553-7800,51
2961,0000-0002-6841-3624,33
2962,0000-0003-2370-4492,10
2963,0000-0002-9017-1991,3
2964,0000-0001-6409-0664,50
2965,0000-0003-4681-8628,6
2966,0000-0003-4938-4108,3
2967,0000-0002-4799-5522,8
2968,0000-0003-0888-8094,6
2969,0000-0002-5318-6940,44
2970,0000-0001-5759-7125,10
2971,0000-0002-7097-4586,61
2972,0000-0001-5276-4764,36
2973,0000-0003-3882-7399,19
2974,0000-0001-9058-131X,13
2975,0000-0003-4177-4590,39
2976,0000-0003-4857-5279,29
2977,0000-0001-8605-7064,5
2978,0000-0001-8959-6469,9
2979,0000-0003-4229-4580,95
2980,0000-0002-6076-6337,50
2981,0000-0003-1871-3298,38
2982,0000-0002-6195-1411,3
2983,0000-0003-0012-4006,118
2984,0000-0002-3684-3275,7
2985,0000-0003-0526-2088,63
2986,0000-0003-0622-0701,20
2987,0000-0001-7583-4593,40
2988,0000-0003-3008-6899,18
2989,0000-0003-3155-7576,18
2990,0000-0002-7464-7435,46
2991,0000-0001-6016-2341,17
2992,0000-0003-2637-3297,9
2993,0000-0002-6726-5324,10
2994,0000-0002-3660-8160,11
2995,0000-0002-3936-5491,23
2996,0000-0003-2204-3143,7
2997,0000-0001-6169-370X,13
2998,0000-0001-7616-6275,1
2999,0000-0001-6258-1881,10
3000,0000-0003-1290-6478,55
3001,0000-0002-4140-6563,28
3002,0000-0003-0838-5040,39
3003,0000-0002-1182-0579,25
3004,0000-0002-9143-2575,3
3005,0000-0003-4612-8635,41
3006,0000-0003-2099-9870,6
3007,0000-0003-0813-6490,53
3008,0000-0003-3663-0859,59
3009,0000-0003-3362-5173,9
3010,0000-0003-4531-1622,2
3011,0000-0001-6403-016X,94
3012,0000-0002-5941-414X,40
3013,0000-0001-7080-7983,34
3014,0000-0002-5566-3552,40
3015,0000-0002-3344-6151,39
3016,0000-0002-6679-972X,34
3017,0000-0002-2786-8200,49
3018,0000-0002-1925-636X,42
3019,0000-0002-1520-2268,22
3020,0000-0002-0948-4166,39
3021,0000-0001-8935-358X,20
3022,0000-0003-1760-281X,18
3023,0000-0002-2261-958X,34
3024,0000-0002-7195-6363,7
3025,0000-0002-7200-9894,12
3026,0000-0001-8141-8449,31
3027,0000-0002-0020-6637,83
3028,0000-0003-1891-7274,12
3029,0000-0003-4329-438X,21
3030,0000-0002-6294-6294,24
3031,0000-0002-5215-1615,15
3032,0000-0002-0840-4929,15
3033,0000-0001-9212-3945,40
3034,0000-0003-1076-4779,80
3035,0000-0002-7808-1213,22
3036,0000-0002-6982-4660,60
3037,0000-0002-5431-190X,4
3038,0000-0003-4335-6034,44
3039,0000-0001-9535-508X,1
3040,0000-0002-9371-9975,18
3041,0000-0001-6203-7413,41
3042,0000-0003-2074-5029,2
3043,0000-0003-4174-2126,41
3044,0000-0002-5140-8060,32
3045,0000-0002-6444-1249,87
3046,0000-0001-9544-3610,14
3047,0000-0002-5805-7195,63
3048,0000-0002-3243-110X,70
3049,0000-0002-5542-6434,16
3050,0000-0001-9482-7743,19
3051,0000-0002-2156-074X,40
3052,0000-0002-1171-0548,11
3053,0000-0002-6748-5116,15
3054,0000-0001-9528-252X,4
3055,0000-0003-1558-9551,14
3056,0000-0003-1574-0397,50
3057,0000-0003-4303-0704,25
3058,0000-0001-7416-9819,7
3059,0000-0003-1949-2669,29
3060,0000-0002-1686-3850,24
3061,0000-0003-3930-9630,20
3062,0000-0002-4588-9777,4
3063,0000-0002-2733-2094,5
3064,0000-0002-7482-346X,1
3065,0000-0003-3672-9082,5
3066,0000-0002-7911-9471,59
3067,0000-0001-5921-460X,13
3068,0000-0003-4329-2253,5
3069,0000-0002-8625-0996,16
3070,0000-0001-5783-6181,18
3071,0000-0001-9505-333X,41
3072,0000-0003-1318-6839,22
3073,0000-0003-3852-6721,16
3074,0000-0003-0862-403X,81
3075,0000-0003-1546-752X,38
3076,0000-0002-2387-9973,60
3077,0000-0001-9643-1662,18
3078,0000-0002-6374-837X,50
3079,0000-0003-2830-6813,13
3080,0000-0001-8752-4365,10
3081,0000-0002-5201-731X,13
3082,0000-0001-6410-2581,16
3083,0000-0002-4670-0251,18
3084,0000-0002-4098-955X,13
3085,0000-0001-8685-9630,9
3086,0000-0002-6845-0521,8
3087,0000-0003-3938-9503,65
3088,0000-0002-7656-7789,23
3089,0000-0002-6490-1938,6
3090,0000-0002-1334-5054,9
3091,0000-0002-3620-2507,7
3092,0000-0001-5992-5989,60
3093,0000-0003-1705-5481,27
3094,0000-0003-3901-0452,12
3095,0000-0001-8200-1733,59
3096,0000-0002-6581-0587,53
3097,0000-0001-9788-5690,30
3098,0000-0002-2072-9216,31
3099,0000-0001-9249-413X,8
3100,0000-0003-0882-7902,14
3101,0000-0001-9064-4982,11
3102,0000-0002-7581-9227,44
3103,0000-0003-2063-7503,46
3104,0000-0002-5583-7508,40
3105,0000-0002-4465-1636,17
3106,0000-0002-5813-631X,68
3107,0000-0001-8544-7386,9
3108,0000-0003-4890-4685,18
3109,0000-0002-2936-3994,31
3110,0000-0001-7363-1186,8
3111,0000-0003-1317-1047,25
3112,0000-0001-9225-7521,25
3113,0000-0002-6044-2746,32
3114,0000-0003-0181-5239,8
3115,0000-0002-4111-048X,28
3116,0000-0002-8240-939X,47
3117,0000-0001-9798-2415,59
3118,0000-0002-3503-7140,99
3119,0000-0001-8173-8557,18
3120,0000-0001-9287-3375,5
3121,0000-0002-6265-9156,31
3122,0000-0002-4475-6112,14
3123,0000-0001-9486-5512,9
3124,0000-0001-6006-0740,70
3125,0000-0002-5551-6720,17
3126,0000-0002-7455-6867,35
3127,0000-0001-7668-9025,11
3128,0000-0001-8968-7272,18
3129,0000-0002-5810-0720,8
3130,0000-0002-8127-9773,21
3131,0000-0003-2673-0565,3
3132,0000-0002-1784-5662,81
3133,0000-0001-8860-7998,3
3134,0000-0002-9278-0854,60
3135,0000-0001-6916-0000,22
3136,0000-0003-1516-0341,17
3137,0000-0001-6789-4254,20
3138,0000-0003-3864-7451,4
3139,0000-0003-0040-3793,73
3140,0000-0003-3145-2440,30
3141,0000-0002-8796-2653,36
3142,0000-0003-0482-1140,41
3143,0000-0002-1226-8077,23
3144,0000-0002-6031-2626,38
3145,0000-0002-4078-7413,12
3146,0000-0002-7680-2240,8
3147,0000-0001-7678-5033,35
3148,0000-0002-4806-7218,89
3149,0000-0001-7546-8618,61
3150,0000-0002-5139-3401,14
3151,0000-0001-5230-7475,59
3152,0000-0001-8948-6526,4
3153,0000-0003-4571-2514,7
3154,0000-0001-7881-2859,14
3155,0000-0002-7072-1271,22
3156,0000-0002-9352-764X,31
3157,0000-0001-9659-9449,3
3158,0000-0001-7732-3922,8
3159,0000-0001-6681-147X,51
3160,0000-0002-9708-6722,14
3161,0000-0002-8111-2842,49
3162,0000-0001-7866-821X,24
3163,0000-0003-0471-0053,21
3164,0000-0002-5710-4228,25
3165,0000-0003-4126-8911,25
3166,0000-0002-4301-2939,26
3167,0000-0002-9621-0410,13
3168,0000-0002-0025-1104,18
3169,0000-0002-5465-9754,17
3170,0000-0002-6668-4017,24
3171,0000-0003-0435-2065,138
3172,0000-0003-3494-8070,25
3173,0000-0003-1711-1930,94
3174,0000-0002-6176-0420,31
3175,0000-0002-7805-5672,4
3176,0000-0002-4881-7752,44
3177,0000-0002-8658-9674,20
3178,0000-0003-2478-683X,31
3179,0000-0002-7932-8265,7
3180,0000-0002-1148-697X,15
3181,0000-0002-0639-3605,5
3182,0000-0001-6557-453X,39
3183,0000-0002-9715-3534,79
3184,0000-0002-6557-7914,11
3185,0000-0003-0370-7872,32
3186,0000-0003-4456-2788,12
3187,0000-0003-1627-0809,8
3188,0000-0002-2667-4391,31
3189,0000-0002-8645-1763,20
3190,0000-0003-4709-4107,15
3191,0000-0002-1506-4272,79
3192,0000-0001-7808-4943,151
3193,0000-0002-5147-0331,15
3194,0000-0001-5367-3397,3
3195,0000-0001-8082-8243,2
3196,0000-0001-5858-5089,39
3197,0000-0003-2049-1137,14
3198,0000-0002-5021-8505,3
3199,0000-0002-9994-6423,10
3200,0000-0001-7455-5269,28
3201,0000-0002-6671-4810,7
3202,0000-0003-1788-6971,15
3203,0000-0002-8467-8171,3
3204,0000-0002-9437-784X,66
3205,0000-0002-9975-3269,27
3206,0000-0003-0586-2278,63
3207,0000-0002-0438-7666,12
3208,0000-0002-1104-0695,20
3209,0000-0003-1174-4358,9
3210,0000-0003-0634-3277,12
3211,0000-0003-3005-9858,24
3212,0000-0003-2052-025X,7
3213,0000-0003-4870-7649,39
3214,0000-0002-7218-5775,17
3215,0000-0001-7692-5139,20
3216,0000-0002-1144-9167,69
3217,0000-0003-3808-1769,1
3218,0000-0002-8229-4158,57
3219,0000-0003-3890-151X,74
3220,0000-0002-5203-7855,8
3221,0000-0002-8277-4434,24
3222,0000-0002-7755-1420,57
3223,0000-0001-6594-8917,39
3224,0000-0002-7832-1942,40
3225,0000-0002-9913-7722,10
3226,0000-0002-5083-8640,33
3227,0000-0001-5311-3824,20
3228,0000-0003-0544-9424,11
3229,0000-0003-3657-4703,22
3230,0000-0002-5787-4871,46
3231,0000-0002-2469-0494,11
3232,0000-0003-0417-3411,68
3233,0000-0003-2778-3108,32
3234,0000-0002-3360-3196,7
3235,0000-0002-9529-3517,5
3236,0000-0002-3295-2984,49
3237,0000-0002-2574-4706,41
3238,0000-0003-0700-3776,34
3239,0000-0003-1471-7785,8
3240,0000-0001-6974-9587,34
3241,0000-0002-1802-4217,107
3242,0000-0002-3657-8459,27
3243,0000-0001-8184-2477,46
3244,0000-0001-6022-2666,179
3245,0000-0002-8726-7992,187
3246,0000-0003-4667-1451,9
3247,0000-0002-9104-5436,4
3248,0000-0003-4972-9233,74
3249,0000-0002-3034-6905,43
3250,0000-0002-6722-5939,11
3251,0000-0003-0765-9054,26
3252,0000-0003-0022-9625,47
3253,0000-0002-0550-1897,42
3254,0000-0002-4517-3840,46
3255,0000-0002-3905-4335,53
3256,0000-0002-1130-4865,9
3257,0000-0003-0359-8450,3
3258,0000-0002-6350-798X,29
3259,0000-0002-4903-7360,10
3260,0000-0001-9232-4042,97
3261,0000-0003-1244-4488,75
3262,0000-0001-8665-0546,14
3263,0000-0003-1966-7801,14
3264,0000-0002-2460-1068,17
3265,0000-0002-3368-5013,174
3266,0000-0002-8907-473X,25
3267,0000-0002-6962-831X,33
3268,0000-0001-5139-8571,19
3269,0000-0001-9633-0888,23
3270,0000-0002-7101-240X,14
3271,0000-0002-1671-1355,17
3272,0000-0003-3128-8441,36
3273,0000-0001-8946-6605,27
3274,0000-0002-1114-1509,53
3275,0000-0003-4543-1675,50
3276,0000-0002-8621-3271,45
3277,0000-0002-1348-7204,14
3278,0000-0002-2828-1727,56
3279,0000-0002-3253-3608,31
3280,0000-0002-1507-3822,13
3281,0000-0002-1030-0598,43
3282,0000-0002-5393-7142,31
3283,0000-0002-7554-8324,70
3284,0000-0003-2748-4722,67
3285,0000-0002-5836-5454,14
3286,0000-0003-0691-3153,21
3287,0000-0001-7560-9599,21
3288,0000-0002-5626-7236,32
3289,0000-0002-7322-9880,9
3290,0000-0003-1951-2455,66
3291,0000-0002-1453-0921,73
3292,0000-0002-9704-3781,7
3293,0000-0003-0054-3438,39
3294,0000-0003-0802-6080,7
3295,0000-0002-5131-2536,18
3296,0000-0003-1282-1896,51
3297,0000-0003-3653-7726,18
3298,0000-0002-1523-3996,28
3299,0000-0001-9902-3736,51
3300,0000-0003-1652-9577,12
3301,0000-0002-1235-8347,36
3302,0000-0001-7120-3380,9
3303,0000-0003-0166-9163,20
3304,0000-0002-1994-2538,56
3305,0000-0001-9321-4814,16
3306,0000-0002-0258-3348,47
3307,0000-0001-9360-3334,32
3308,0000-0002-3008-7843,122
3309,0000-0002-2306-5398,87
3310,0000-0002-2616-1510,5
3311,0000-0002-5973-4741,26
3312,0000-0002-4528-1139,12
3313,0000-0003-2428-3562,19
3314,0000-0002-3088-1318,42
3315,0000-0002-2195-2997,6
3316,0000-0001-6435-7197,5
3317,0000-0001-7264-3679,18
3318,0000-0002-1084-5301,11
3319,0000-0001-7621-8303,9
3320,0000-0002-7710-1171,37
3321,0000-0002-2472-7955,16
3322,0000-0003-2827-0208,16
3323,0000-0002-2583-8278,46
3324,0000-0003-3655-0904,11
3325,0000-0002-6757-5867,7
3326,0000-0002-5738-1719,14
3327,0000-0002-9637-0246,23
3328,0000-0001-8563-9193,16
3329,0000-0002-5366-9168,32
3330,0000-0002-9432-4051,31
3331,0000-0001-5222-4987,121
3332,0000-0001-5525-9982,14
3333,0000-0003-3241-3216,18
3334,0000-0001-8035-9491,11
3335,0000-0003-0368-9539,20
3336,0000-0002-2916-3802,31
3337,0000-0002-7559-3299,30
3338,0000-0001-5033-5069,18
3339,0000-0002-7402-9979,73
3340,0000-0001-8831-014X,35
3341,0000-0001-6256-5478,31
3342,0000-0002-8541-7440,17
3343,0000-0001-6134-9255,11
3344,0000-0002-4245-0953,24
3345,0000-0003-3186-5421,61
3346,0000-0001-8295-0664,10
3347,0000-0001-9998-0093,33
3348,0000-0002-4935-8914,2
3349,0000-0002-0653-3751,27
3350,0000-0002-5823-7903,45
3351,0000-0002-0808-7986,8
3352,0000-0003-4335-0337,13
3353,0000-0002-5699-1726,22
3354,0000-0003-0648-3093,28
3355,0000-0002-2915-9504,10
3356,0000-0001-7808-5452,12
3357,0000-0002-3407-8493,23
3358,0000-0002-2603-7157,40
3359,0000-0001-8980-108X,20
3360,0000-0002-1997-517X,17
3361,0000-0003-0262-7029,6
3362,0000-0003-1382-911X,47
3363,0000-0003-0172-6578,18
3364,0000-0003-4691-8477,52
3365,0000-0002-1064-8375,48
3366,0000-0002-5346-2829,33
3367,0000-0002-3814-9172,50
3368,0000-0002-8581-3187,34
3369,0000-0002-6153-4976,105
3370,0000-0002-5175-1555,21
3371,0000-0002-4390-0952,27
3372,0000-0001-8390-4387,14
3373,0000-0003-4727-9435,24
3374,0000-0001-5495-4705,15
3375,0000-0002-4242-0818,18
3376,0000-0002-1590-8869,66
3377,0000-0001-6712-7266,81
3378,0000-0002-9866-1776,25
3379,0000-0002-6758-2709,16
3380,0000-0002-9815-3026,25
3381,0000-0003-4263-9972,12
3382,0000-0001-8841-7705,42
3383,0000-0001-6592-5299,30
3384,0000-0003-2025-5302,95
3385,0000-0002-0988-7344,21
3386,0000-0002-2028-7462,44
3387,0000-0002-3190-1173,33
3388,0000-0002-0229-6541,22
3389,0000-0003-1153-9928,39
3390,0000-0002-5422-0653,31
3391,0000-0002-3940-2651,2
3392,0000-0001-9808-780X,90
3393,0000-0002-5255-5425,28
3394,0000-0002-3345-7336,37
3395,0000-0003-1462-1118,25
3396,0000-0002-1382-0150,11
3397,0000-0002-6302-2317,16
3398,0000-0002-3848-611X,9
3399,0000-0001-7338-2896,26
3400,0000-0003-0468-5150,14
3401,0000-0001-5451-9535,13
3402,0000-0001-8427-2035,28
3403,0000-0002-6573-983X,68
3404,0000-0002-2981-2227,51
3405,0000-0001-5085-0909,18
3406,0000-0003-4366-9268,33
3407,0000-0002-1203-9063,75
3408,0000-0002-1281-113X,27
3409,0000-0003-4410-6635,52
3410,0000-0003-3782-0750,44
3411,0000-0002-2338-2561,21
3412,0000-0002-3566-2309,26
3413,0000-0001-9180-2196,21
3414,0000-0001-8926-881X,33
3415,0000-0002-1995-1477,29
3416,0000-0003-1451-8292,40
3417,0000-0003-1745-1118,16
3418,0000-0002-4130-1526,29
3419,0000-0002-1992-1796,42
3420,0000-0001-9404-0035,4
3421,0000-0002-6218-0786,31
3422,0000-0002-5773-5687,11
3423,0000-0001-9963-5871,14
3424,0000-0003-1768-9134,38
3425,0000-0002-9979-9769,8
3426,0000-0002-7740-5781,62
3427,0000-0001-7531-597X,27
3428,0000-0002-5956-9723,14
3429,0000-0003-2570-9326,153
3430,0000-0002-5122-7243,57
3431,0000-0001-8796-1936,7
3432,0000-0003-0005-7798,88
3433,0000-0002-7941-0357,3
3434,0000-0001-5993-7613,15
3435,0000-0002-6585-8943,10
3436,0000-0002-8704-4828,16
3437,0000-0002-2958-5458,33
3438,0000-0001-6031-7542,21
3439,0000-0003-4819-0264,100
3440,0000-0002-6412-4358,9
3441,0000-0001-8320-5607,3
3442,0000-0002-8043-8859,5
3443,0000-0002-1362-2410,71
3444,0000-0003-4457-3401,9
3445,0000-0003-3886-363X,37
3446,0000-0001-6253-4014,16
3447,0000-0002-5702-6733,15
3448,0000-0002-9300-8268,13
3449,0000-0001-9568-0894,16
3450,0000-0002-0586-8795,25
3451,0000-0002-6547-0172,127
3452,0000-0001-5321-5791,27
3453,0000-0002-4919-4913,40
3454,0000-0002-5082-3203,25
3455,0000-0001-8478-3441,54
3456,0000-0003-1756-3654,46
3457,0000-0002-2924-9040,21
3458,0000-0002-2004-9341,7
3459,0000-0002-4651-6390,19
3460,0000-0002-8112-9134,14
3461,0000-0002-4915-3572,88
3462,0000-0003-4176-0738,5
3463,0000-0002-0041-7688,10
3464,0000-0003-3764-2624,24
3465,0000-0002-1808-7904,17
3466,0000-0003-3267-4811,25
3467,0000-0003-2542-5585,9
3468,0000-0003-1428-8765,36
3469,0000-0003-4353-2026,14
3470,0000-0001-8141-3058,28
3471,0000-0002-6963-6555,55
3472,0000-0002-7756-2314,54
3473,0000-0002-3608-8652,22
3474,0000-0001-8309-2112,26
3475,0000-0003-0149-2951,6
3476,0000-0002-3202-4811,20
3477,0000-0002-2068-4302,32
3478,0000-0001-7511-3067,17
3479,0000-0002-4289-6998,16
3480,0000-0002-5343-9960,1
