N,Precision,Recall,F1
1,0.10510000000000001,0.38173887990234745,0.15013691740888685
2,0.1052,0.38186387990234744,0.15024802851999794
3,0.10510000000000001,0.38173887990234745,0.15013691740888685
4,0.10510000000000001,0.38173887990234745,0.15013691740888685
5,0.10540000000000001,0.382913389706269,0.15065002282199227
10,0.10510000000000003,0.3834746992300785,0.15035198948278247
15,0.10404285714285715,0.3815217230396023,0.1490626721661122
20,0.11323769841269841,0.33885091276972085,0.1493830279947747
