N,Precision,Recall,F1
1,0.11018968253968253,0.33557759344198973,0.1470011727040959
3,0.10312539682539681,0.374851725128157,0.14793987304086936
5,0.10494285714285714,0.380657979735263,0.1501030475485715
10,0.10784484126984129,0.35790591633169033,0.1487376007482927
15,0.1053,0.37956986835833584,0.15025853651905086
20,0.1055,0.38087891019369347,0.1505601842091918
