K,Precision,Recall,F1
3,0.23009358069282548,0.2991927476939424,0.23231100077084446
5,0.18678377934657692,0.39251285313687606,0.2274174418064688
10,0.12681825644393369,0.5138436300912758,0.186467203361509
15,0.09727466754227548,0.5828632367436036,0.1552110702446357
20,0.07924807092431457,0.6281202548999014,0.13248700109561676
25,0.06690198653751436,0.6602830443631037,0.1152736480919567
30,0.05826903081048541,0.6871761811450927,0.10255160129436226




